tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
20,0.0,123,1,2.9453,13.08,17.98,1.0,G,0.0635,below_bound,0.0000,0.3,geometric,21
20,0.0,123,2,2.0676,21.65,24.01,1.0,G,0.0547,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,3,1.9259,26.39,29.17,1.0,G,0.0590,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,4,1.8246,30.34,33.68,1.0,G,0.0429,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,5,1.7501,33.32,35.81,1.0,G,0.0419,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,6,1.6708,36.68,40.23,1.0,G,0.0556,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,7,1.5919,40.02,40.06,1.0,G,0.0489,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,8,1.5459,42.15,37.00,1.0,G,0.0550,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,9,1.5190,43.50,43.74,1.0,G,0.0300,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,10,1.4083,47.96,46.68,1.0,G,0.0395,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,11,1.3727,49.46,51.24,1.0,G,0.0343,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,12,1.3154,52.12,47.62,1.0,G,0.0199,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,13,1.2593,54.02,54.91,1.0,G,0.0358,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,14,1.2156,55.85,57.07,1.0,G,0.0306,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,15,1.1427,58.44,59.49,1.0,G,0.0217,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,16,1.1297,59.29,60.06,1.0,G,0.0233,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,17,1.0725,61.45,58.52,1.0,G,0.0296,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,18,1.0371,62.98,63.87,1.0,G,0.0300,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,19,1.0323,62.99,64.02,1.0,G,0.0312,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,20,0.9823,64.65,64.73,1.0,G,0.0287,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,21,0.9563,65.99,64.61,1.0,G,0.0293,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,22,0.9024,67.85,66.70,1.0,G,0.0256,below_bound,-0.7142,0.3,geometric,21
20,0.0,123,23,0.8846,68.42,69.79,1.0,G,0.0245,below_bound,-0.7142,0.3,geometric,21
