tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
20,0.0,42,1,2.7501,12.07,11.61,1.0,G,0.0580,above_bound,0.0000,0.3,geometric,21
20,0.0,42,2,2.2007,16.77,17.73,1.0,G,0.0695,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,3,2.0324,22.83,22.64,1.0,G,0.0677,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,4,1.9083,27.41,30.14,1.0,G,0.0552,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,5,1.8053,31.30,34.33,1.0,G,0.0512,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,6,1.7402,33.96,29.92,1.0,G,0.0336,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,7,1.7022,35.60,36.54,1.0,G,0.0616,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,8,1.6227,39.30,33.05,1.0,G,0.0464,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,9,1.5611,42.34,46.33,1.0,G,0.0564,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,10,1.5052,44.37,42.93,1.0,G,0.0421,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,11,1.4236,47.73,52.29,1.0,G,0.0389,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,12,1.3682,50.05,50.00,1.0,G,0.0359,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,13,1.3403,51.31,55.14,1.0,G,0.0387,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,14,1.2196,55.69,55.37,1.0,G,0.0376,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,15,1.1574,58.19,58.28,1.0,G,0.0332,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,16,1.1279,59.15,55.34,1.0,G,0.0348,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,17,1.0794,60.95,60.81,1.0,G,0.0245,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,18,1.0467,62.39,63.63,1.0,G,0.0315,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,19,0.9886,64.74,60.95,1.0,G,0.0318,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,20,0.9639,65.66,67.08,1.0,G,0.0312,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,21,0.9106,67.62,67.40,1.0,G,0.0333,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,22,0.8764,68.88,68.89,1.0,G,0.0291,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,23,0.8565,69.82,64.86,1.0,G,0.0298,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,24,0.8465,70.36,68.27,1.0,G,0.0265,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,25,0.7824,72.46,66.66,1.0,G,0.0205,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,26,0.7611,73.31,72.01,1.0,G,0.0264,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,27,0.7636,73.09,73.93,1.0,G,0.0226,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,28,0.7287,74.45,75.02,1.0,G,0.0259,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,29,0.6995,75.53,72.89,1.0,G,0.0188,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,30,0.6889,76.14,73.61,1.0,G,0.0213,above_bound,-0.1142,0.3,geometric,21
20,0.0,42,31,0.6520,77.19,74.67,1.0,G,0.0293,above_bound,0.8528,0.3,geometric,21
20,0.0,42,32,0.6563,77.17,75.28,1.0,G,0.0360,above_bound,0.8528,0.3,geometric,21
20,0.0,42,33,0.6235,78.13,78.32,1.0,G,0.0314,above_bound,0.8528,0.3,geometric,21
20,0.0,42,34,0.6056,78.95,69.70,1.0,G,0.0228,above_bound,0.8528,0.3,geometric,21
20,0.0,42,35,0.6401,77.77,78.03,1.0,G,0.0347,above_bound,0.8528,0.3,geometric,21
20,0.0,42,36,0.6047,79.00,79.28,1.0,G,0.0335,above_bound,0.8528,0.3,geometric,21
20,0.0,42,37,0.5907,79.42,78.87,1.0,G,0.0241,above_bound,0.8528,0.3,geometric,21
20,0.0,42,38,0.5760,79.75,77.20,1.0,G,0.0262,above_bound,0.8528,0.3,geometric,21
20,0.0,42,39,0.5671,80.11,79.54,1.0,G,0.0221,above_bound,0.8528,0.3,geometric,21
20,0.0,42,40,0.5651,80.24,79.97,1.0,G,0.0247,above_bound,0.8528,0.3,geometric,21
20,0.0,42,41,0.4893,83.10,81.73,1.0,G,0.0113,above_bound,0.9500,0.3,geometric,21
20,0.0,42,42,0.4751,83.56,82.27,1.0,G,0.0042,above_bound,0.9500,0.3,geometric,21
20,0.0,42,43,0.4658,83.98,82.57,1.0,G,0.0059,above_bound,0.9500,0.3,geometric,21
20,0.0,42,44,0.4617,83.92,82.68,1.0,G,0.0091,above_bound,0.9500,0.3,geometric,21
20,0.0,42,45,0.4581,84.07,82.47,1.0,G,0.0098,above_bound,0.9500,0.3,geometric,21
20,0.0,42,46,0.4536,84.24,82.54,1.0,G,0.0094,above_bound,0.9500,0.3,geometric,21
20,0.0,42,47,0.4520,84.30,82.33,1.0,G,0.0116,above_bound,0.9500,0.3,geometric,21
20,0.0,42,48,0.4477,84.39,82.72,1.0,G,0.0104,above_bound,0.9500,0.3,geometric,21
20,0.0,42,49,0.4403,84.76,82.84,1.0,G,0.0139,above_bound,0.9500,0.3,geometric,21
20,0.0,42,50,0.4402,84.73,82.91,1.0,G,0.0062,above_bound,0.9500,0.3,geometric,21
