tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
2,0.0,42,1,1.9616,30.38,33.02,1.0,G,0.0787,above_bound,0.0000,0.3,geometric,3
2,0.0,42,2,1.9290,26.55,34.34,1.0,G,0.2581,above_bound,0.8528,0.3,geometric,3
2,0.0,42,3,1.6738,37.29,44.44,1.0,G,0.2392,above_bound,0.8528,0.3,geometric,3
2,0.0,42,4,1.4530,46.26,45.73,1.0,G,0.2000,above_bound,0.8528,0.3,geometric,3
2,0.0,42,5,1.2934,52.74,50.50,1.0,G,0.1975,above_bound,0.8528,0.3,geometric,3
2,0.0,42,6,1.1254,59.32,61.83,1.0,G,0.1561,above_bound,0.8528,0.3,geometric,3
2,0.0,42,7,1.0344,63.19,66.00,1.0,G,0.1625,above_bound,0.8528,0.3,geometric,3
2,0.0,42,8,0.9405,66.38,67.99,1.0,G,0.1226,above_bound,0.8528,0.3,geometric,3
2,0.0,42,9,0.9026,68.04,64.93,1.0,G,0.1463,above_bound,0.8528,0.3,geometric,3
2,0.0,42,10,0.8241,71.04,66.63,1.0,G,0.1171,above_bound,0.8528,0.3,geometric,3
2,0.0,42,11,0.7580,73.42,66.83,1.0,G,0.1169,above_bound,0.8528,0.3,geometric,3
2,0.0,42,12,0.7251,74.49,73.41,1.0,G,0.0930,above_bound,0.8528,0.3,geometric,3
2,0.0,42,13,0.6722,76.75,73.26,1.0,G,0.0974,above_bound,0.8528,0.3,geometric,3
2,0.0,42,14,0.6584,76.87,74.85,1.0,G,0.0825,above_bound,0.8528,0.3,geometric,3
2,0.0,42,15,0.6287,78.06,74.20,1.0,G,0.0966,above_bound,0.8528,0.3,geometric,3
2,0.0,42,16,0.6096,79.10,74.48,1.0,G,0.0748,above_bound,0.8528,0.3,geometric,3
2,0.0,42,17,0.5870,79.56,73.29,1.0,G,0.0821,above_bound,0.8528,0.3,geometric,3
2,0.0,42,18,0.5859,79.95,79.86,1.0,G,0.0894,above_bound,0.8528,0.3,geometric,3
2,0.0,42,19,0.5592,80.63,75.62,1.0,G,0.0693,above_bound,0.8528,0.3,geometric,3
2,0.0,42,20,0.5551,80.91,75.95,1.0,G,0.0714,above_bound,0.8528,0.3,geometric,3
2,0.0,42,21,0.5460,81.03,79.88,1.0,G,0.0781,above_bound,0.8528,0.3,geometric,3
2,0.0,42,22,0.5282,81.86,75.48,1.0,G,0.0733,above_bound,0.8528,0.3,geometric,3
2,0.0,42,23,0.5162,82.31,80.19,1.0,G,0.0715,above_bound,0.8528,0.3,geometric,3
2,0.0,42,24,0.5159,82.18,78.30,1.0,G,0.0734,above_bound,0.8528,0.3,geometric,3
2,0.0,42,25,0.4905,82.96,79.03,1.0,G,0.0622,above_bound,0.8528,0.3,geometric,3
2,0.0,42,26,0.4873,83.10,82.78,1.0,G,0.0701,above_bound,0.8528,0.3,geometric,3
2,0.0,42,27,0.4694,83.80,78.17,1.0,G,0.0575,above_bound,0.8528,0.3,geometric,3
2,0.0,42,28,0.4685,83.88,76.54,1.0,G,0.0634,above_bound,0.8528,0.3,geometric,3
2,0.0,42,29,0.4631,83.90,79.64,1.0,G,0.0572,above_bound,0.8528,0.3,geometric,3
2,0.0,42,30,0.4435,84.73,82.18,1.0,G,0.0571,above_bound,0.8528,0.3,geometric,3
2,0.0,42,31,0.3507,87.92,87.06,1.0,G,0.0204,above_bound,0.9500,0.3,geometric,3
2,0.0,42,32,0.3220,88.83,86.44,1.0,G,0.0182,above_bound,0.9500,0.3,geometric,3
2,0.0,42,33,0.3128,89.24,86.93,1.0,G,0.0172,above_bound,0.9500,0.3,geometric,3
2,0.0,42,34,0.3072,89.27,86.80,1.0,G,0.0223,above_bound,0.9500,0.3,geometric,3
2,0.0,42,35,0.3008,89.53,86.46,1.0,G,0.0210,above_bound,0.9500,0.3,geometric,3
2,0.0,42,36,0.2935,89.80,86.64,1.0,G,0.0174,above_bound,0.9500,0.3,geometric,3
2,0.0,42,37,0.2936,89.79,86.82,1.0,G,0.0251,above_bound,0.9500,0.3,geometric,3
2,0.0,42,38,0.2924,89.89,86.84,1.0,G,0.0216,above_bound,0.9500,0.3,geometric,3
2,0.0,42,39,0.2883,90.04,86.53,1.0,G,0.0262,above_bound,0.9500,0.3,geometric,3
2,0.0,42,40,0.2756,90.35,86.72,1.0,G,0.0203,above_bound,0.9500,0.3,geometric,3
2,0.0,42,41,0.2468,91.35,87.93,1.0,G,0.0053,above_bound,0.9500,0.3,geometric,3
2,0.0,42,42,0.2366,91.85,88.18,1.0,G,0.0042,above_bound,0.9500,0.3,geometric,3
2,0.0,42,43,0.2281,92.15,87.92,1.0,G,0.0035,above_bound,0.9500,0.3,geometric,3
2,0.0,42,44,0.2303,91.94,88.07,1.0,G,0.0001,above_bound,0.9500,0.3,geometric,3
2,0.0,42,45,0.2262,92.22,88.02,1.0,G,0.0031,above_bound,0.9500,0.3,geometric,3
2,0.0,42,46,0.2236,92.33,88.07,1.0,G,0.0037,above_bound,0.9500,0.3,geometric,3
2,0.0,42,47,0.2210,92.43,88.13,1.0,G,-0.0002,above_bound,0.9500,0.3,geometric,3
2,0.0,42,48,0.2200,92.33,88.26,1.0,G,-0.0010,above_bound,0.9500,0.3,geometric,3
2,0.0,42,49,0.2198,92.36,88.06,1.0,G,0.0042,above_bound,0.9500,0.3,geometric,3
2,0.0,42,50,0.2165,92.52,88.01,1.0,G,0.0013,above_bound,0.9500,0.3,geometric,3
