num_workers,epoch,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_test_acc,std_test_acc,mean_test_error,std_test_error,mean_weight_norm,std_weight_norm
1,1,1.6808367933781942,0.006011029323407431,1.4052684733708698,0.04563543293975339,0.4875333333333334,0.016904535880447387,0.5124666666666666,0.016904535880447363,37.476993560791016,0.07850865925440928
1,2,1.2880631091054282,0.017525453448065647,1.1957132784207662,0.04667686152444557,0.5716666666666667,0.017212301802296326,0.4283333333333334,0.017212301802296326,37.59452692667643,0.07860440375989666
1,3,1.087113473002116,0.009965995260092675,1.0813936262130737,0.03547956251492649,0.6226999999999999,0.008545759182190924,0.37729999999999997,0.008545759182190924,37.72409184773763,0.07905101470277506
1,4,0.9530276383654277,0.005398659106844448,0.9836480343818664,0.03267367459034287,0.6582666666666667,0.008050672849727112,0.3417333333333333,0.008050672849727112,37.865814208984375,0.08316258917561628
1,5,0.8501066095161439,0.0019147952999888829,0.9253113702932994,0.03659196669666411,0.6798333333333333,0.00932434090610877,0.32016666666666665,0.00932434090610877,38.023946126302086,0.09018572168500226
1,6,0.7642621934890746,0.0016077930024301407,0.8806579567114512,0.039398005844487015,0.699,0.011321219015636073,0.301,0.011321219015636073,38.20832443237305,0.10000758487196793
1,7,0.6907791113917033,0.0007739798516510449,0.8817118793964386,0.04739586606929887,0.7067333333333333,0.01382184261715256,0.2932666666666667,0.01382184261715256,38.42370351155599,0.11105550295629985
1,8,0.6238900003019969,0.001896273088778149,0.890319695520401,0.045666105631120966,0.7104666666666667,0.01025199167641752,0.28953333333333336,0.010251991676417518,38.67695871988932,0.12523947954412304
1,9,0.5640430682086944,0.001437280026475107,0.9124440440018972,0.05836524186277974,0.7114666666666666,0.014086281742650636,0.2885333333333333,0.014086281742650636,38.97299448649088,0.14490799623200504
1,10,0.5069629119841258,0.003894499455231519,0.9534867699940999,0.057202386828896425,0.7099333333333334,0.014283673663778966,0.29006666666666664,0.014283673663778964,39.310540517171226,0.16422124201118965
1,11,0.4576161809921264,0.005810223294725315,0.9800433765967687,0.06298849807368023,0.7127,0.008301807032206877,0.2873,0.008301807032206877,39.690223693847656,0.18783737088127578
1,12,0.41427848262151085,0.005385360488953536,1.0318676310221353,0.05767250258259283,0.7099000000000001,0.009808669634563057,0.29009999999999997,0.009808669634563057,40.10546366373698,0.213500611516398
1,13,0.37566710066477454,0.0040188201645419055,1.063298527510961,0.031439614725910225,0.7155666666666667,0.00525959440768328,0.28443333333333337,0.00525959440768328,40.543643951416016,0.23837369532961955
1,14,0.34685049299240117,0.006984550047047056,1.0927698479970296,0.08836739925136786,0.7153666666666666,0.01058741391149572,0.28463333333333335,0.010587413911495721,41.003761291503906,0.2581386999595948
1,15,0.3143084702682495,0.008138520754130484,1.1564064150969189,0.0766777084629792,0.7128333333333333,0.01202719141501179,0.2871666666666666,0.01202719141501179,41.46605682373047,0.27829074211055627
