tau,momentum,seed,epoch,train_loss,train_acc,test_acc
2,0.5,42,1,2.2186,22.28,32.77
2,0.5,42,2,1.6768,36.35,41.45
2,0.5,42,3,1.4707,45.38,42.73
2,0.5,42,4,1.2933,52.57,47.99
2,0.5,42,5,1.1337,58.83,56.31
2,0.5,42,6,1.0082,63.88,54.07
2,0.5,42,7,0.9117,67.44,66.83
2,0.5,42,8,0.8194,71.07,70.46
2,0.5,42,9,0.7576,73.18,71.56
2,0.5,42,10,0.7072,75.13,73.30
2,0.5,42,11,0.6657,76.85,75.83
2,0.5,42,12,0.6251,78.28,70.35
2,0.5,42,13,0.5958,79.37,75.97
2,0.5,42,14,0.5712,80.15,78.20
2,0.5,42,15,0.5452,80.99,78.82
2,0.5,42,16,0.5197,81.88,76.46
2,0.5,42,17,0.5029,82.50,80.18
2,0.5,42,18,0.4872,83.01,77.40
2,0.5,42,19,0.4735,83.64,80.84
2,0.5,42,20,0.4551,83.98,74.17
2,0.5,42,21,0.4430,84.63,81.51
2,0.5,42,22,0.4290,85.14,80.73
2,0.5,42,23,0.4143,85.58,78.76
2,0.5,42,24,0.4054,85.73,82.18
2,0.5,42,25,0.3931,86.32,81.39
2,0.5,42,26,0.3828,86.62,73.58
2,0.5,42,27,0.3774,86.80,80.47
2,0.5,42,28,0.3651,87.29,81.94
2,0.5,42,29,0.3583,87.54,79.64
2,0.5,42,30,0.3542,87.57,75.16
2,0.5,42,31,0.2823,90.22,87.32
2,0.5,42,32,0.2642,90.87,87.30
2,0.5,42,33,0.2551,91.15,87.39
2,0.5,42,34,0.2509,91.22,87.44
2,0.5,42,35,0.2444,91.69,87.16
2,0.5,42,36,0.2407,91.75,87.39
2,0.5,42,37,0.2374,91.86,87.42
2,0.5,42,38,0.2384,91.70,87.48
2,0.5,42,39,0.2329,92.01,87.70
2,0.5,42,40,0.2336,91.96,87.64
2,0.5,42,41,0.2226,92.31,87.76
2,0.5,42,42,0.2234,92.29,87.62
2,0.5,42,43,0.2214,92.41,87.68
2,0.5,42,44,0.2246,92.23,87.55
2,0.5,42,45,0.2241,92.22,87.58
2,0.5,42,46,0.2203,92.43,87.67
2,0.5,42,47,0.2230,92.27,87.62
2,0.5,42,48,0.2195,92.41,87.70
2,0.5,42,49,0.2194,92.48,87.60
2,0.5,42,50,0.2200,92.41,87.62
