tau,momentum,seed,epoch,train_loss,train_acc,test_acc
0,0.0,42,1,1.6907,36.80,37.19
0,0.0,42,2,1.3175,51.81,56.44
0,0.0,42,3,1.1174,59.95,45.67
0,0.0,42,4,0.9895,64.60,58.77
0,0.0,42,5,0.8899,68.37,66.40
0,0.0,42,6,0.8149,71.21,67.74
0,0.0,42,7,0.7515,73.57,70.30
0,0.0,42,8,0.7032,75.08,67.09
0,0.0,42,9,0.6639,76.72,70.86
0,0.0,42,10,0.6311,77.99,75.13
0,0.0,42,11,0.6047,78.87,74.77
0,0.0,42,12,0.5734,80.04,73.58
0,0.0,42,13,0.5558,80.79,72.07
0,0.0,42,14,0.5343,81.53,78.40
0,0.0,42,15,0.5142,82.08,76.17
0,0.0,42,16,0.4950,82.70,78.73
0,0.0,42,17,0.4778,83.43,75.62
0,0.0,42,18,0.4672,83.90,77.67
0,0.0,42,19,0.4530,84.14,76.78
0,0.0,42,20,0.4393,84.75,79.91
0,0.0,42,21,0.4295,85.06,75.75
0,0.0,42,22,0.4163,85.59,76.13
0,0.0,42,23,0.4040,85.95,79.16
0,0.0,42,24,0.3925,86.27,79.67
0,0.0,42,25,0.3839,86.59,82.18
0,0.0,42,26,0.3732,86.92,82.94
0,0.0,42,27,0.3656,87.35,79.02
0,0.0,42,28,0.3572,87.66,77.49
0,0.0,42,29,0.3488,87.66,79.91
0,0.0,42,30,0.3423,88.02,81.33
0,0.0,42,31,0.2870,90.16,86.89
0,0.0,42,32,0.2696,90.83,86.84
0,0.0,42,33,0.2618,91.01,86.92
0,0.0,42,34,0.2602,91.10,87.07
0,0.0,42,35,0.2567,91.22,86.91
0,0.0,42,36,0.2505,91.27,86.67
0,0.0,42,37,0.2498,91.51,86.95
0,0.0,42,38,0.2486,91.48,86.89
0,0.0,42,39,0.2487,91.57,86.76
0,0.0,42,40,0.2482,91.32,86.84
0,0.0,42,41,0.2390,91.78,87.11
0,0.0,42,42,0.2388,91.78,87.05
0,0.0,42,43,0.2392,91.79,87.05
0,0.0,42,44,0.2372,91.89,87.04
0,0.0,42,45,0.2393,91.67,87.03
0,0.0,42,46,0.2379,91.89,86.98
0,0.0,42,47,0.2374,91.80,87.04
0,0.0,42,48,0.2365,91.88,87.05
0,0.0,42,49,0.2331,91.95,87.16
0,0.0,42,50,0.2349,91.90,86.99
