tau,momentum,seed,epoch,train_loss,train_acc,test_acc
2,0.9,456,1,2.6196,13.81,16.05
2,0.9,456,2,2.0381,21.27,27.02
2,0.9,456,3,1.8591,28.21,31.04
2,0.9,456,4,1.6851,35.42,38.43
2,0.9,456,5,1.5371,42.26,40.61
2,0.9,456,6,1.4209,47.65,46.55
2,0.9,456,7,1.3286,51.35,53.27
2,0.9,456,8,1.2336,55.27,51.23
2,0.9,456,9,1.1762,57.47,48.92
2,0.9,456,10,1.1032,60.44,57.49
2,0.9,456,11,1.0257,63.35,61.91
2,0.9,456,12,0.9581,66.18,55.67
2,0.9,456,13,0.9059,67.89,62.51
2,0.9,456,14,0.8395,70.58,70.92
2,0.9,456,15,0.7942,72.14,72.23
2,0.9,456,16,0.7720,73.06,70.87
2,0.9,456,17,0.7369,74.41,73.84
2,0.9,456,18,0.7043,75.66,70.09
2,0.9,456,19,0.6900,76.00,64.47
2,0.9,456,20,0.6585,76.95,65.13
2,0.9,456,21,0.6425,77.60,74.50
2,0.9,456,22,0.6233,78.36,66.98
2,0.9,456,23,0.6142,78.78,74.41
2,0.9,456,24,0.5958,79.37,74.68
2,0.9,456,25,0.5821,79.92,77.22
2,0.9,456,26,0.5714,80.02,73.15
2,0.9,456,27,0.5448,81.26,77.66
2,0.9,456,28,0.5524,81.01,73.84
2,0.9,456,29,0.5154,82.24,79.05
2,0.9,456,30,0.5245,81.90,81.66
2,0.9,456,31,0.3960,86.31,85.00
2,0.9,456,32,0.3675,87.32,85.71
2,0.9,456,33,0.3583,87.69,85.73
2,0.9,456,34,0.3494,87.92,85.71
2,0.9,456,35,0.3426,88.16,85.71
2,0.9,456,36,0.3385,88.09,85.97
2,0.9,456,37,0.3320,88.49,85.94
2,0.9,456,38,0.3277,88.62,85.99
2,0.9,456,39,0.3212,88.88,86.20
2,0.9,456,40,0.3199,88.84,86.41
2,0.9,456,41,0.3078,89.38,86.28
2,0.9,456,42,0.3065,89.33,86.46
2,0.9,456,43,0.3028,89.42,86.35
2,0.9,456,44,0.3023,89.39,86.47
2,0.9,456,45,0.3004,89.52,86.33
2,0.9,456,46,0.3034,89.40,86.36
2,0.9,456,47,0.3011,89.46,86.38
2,0.9,456,48,0.2990,89.53,86.46
2,0.9,456,49,0.3014,89.54,86.35
2,0.9,456,50,0.2958,89.84,86.34
