tau,momentum,seed,epoch,train_loss,train_acc,test_acc
20,0.5,42,1,4.9977,10.23,10.02
20,0.5,42,2,2.3032,10.02,9.85
20,0.5,42,3,2.3032,9.87,10.02
20,0.5,42,4,2.3032,10.07,9.95
20,0.5,42,5,2.3030,10.07,9.98
20,0.5,42,6,2.3032,9.86,10.06
20,0.5,42,7,2.3032,9.88,10.04
20,0.5,42,8,2.3029,10.03,9.98
20,0.5,42,9,2.3032,9.86,10.00
20,0.5,42,10,2.3032,9.85,9.96
20,0.5,42,11,2.3031,10.02,10.08
20,0.5,42,12,2.3033,10.01,9.92
20,0.5,42,13,2.3032,9.89,10.06
20,0.5,42,14,2.3031,10.10,10.03
20,0.5,42,15,2.3034,9.82,9.98
20,0.5,42,16,2.3032,9.92,9.90
20,0.5,42,17,2.3032,9.84,10.18
20,0.5,42,18,2.3031,9.92,9.92
20,0.5,42,19,2.3031,10.10,9.99
20,0.5,42,20,2.3031,10.04,9.98
20,0.5,42,21,2.3029,10.00,10.17
20,0.5,42,22,2.3030,9.82,9.83
20,0.5,42,23,2.3029,9.90,10.01
20,0.5,42,24,2.3029,9.94,10.10
20,0.5,42,25,2.3025,10.08,10.00
20,0.5,42,26,2.3025,10.08,10.00
20,0.5,42,27,2.3024,10.02,10.06
20,0.5,42,28,2.3015,10.43,10.43
20,0.5,42,29,2.2991,10.40,10.78
20,0.5,42,30,2.2851,11.64,11.35
20,0.5,42,31,2.2551,12.89,13.92
20,0.5,42,32,2.2404,13.34,14.20
20,0.5,42,33,2.2294,13.87,14.70
20,0.5,42,34,2.2172,14.13,14.99
20,0.5,42,35,2.2029,14.62,15.10
20,0.5,42,36,2.1864,14.77,15.21
20,0.5,42,37,2.1667,15.62,15.54
20,0.5,42,38,2.1454,16.02,17.20
20,0.5,42,39,2.1279,16.51,16.43
20,0.5,42,40,2.1056,16.88,17.50
20,0.5,42,41,2.0693,17.92,17.89
20,0.5,42,42,2.0650,17.85,17.81
20,0.5,42,43,2.0623,17.75,17.87
20,0.5,42,44,2.0578,17.90,18.02
20,0.5,42,45,2.0556,18.01,17.96
20,0.5,42,46,2.0521,18.03,17.86
20,0.5,42,47,2.0463,18.07,17.82
20,0.5,42,48,2.0456,18.09,18.04
20,0.5,42,49,2.0438,18.18,17.97
20,0.5,42,50,2.0392,18.30,18.05
