tau,momentum,seed,epoch,train_loss,train_acc,test_acc
0,0.9,123,1,1.5827,41.91,53.34
0,0.9,123,2,1.0701,61.37,64.26
0,0.9,123,3,0.8836,68.52,62.63
0,0.9,123,4,0.7437,74.02,70.91
0,0.9,123,5,0.6681,76.88,71.61
0,0.9,123,6,0.6187,78.73,76.61
0,0.9,123,7,0.5718,80.19,76.76
0,0.9,123,8,0.5347,81.62,72.01
0,0.9,123,9,0.5105,82.23,79.22
0,0.9,123,10,0.4862,83.12,80.41
0,0.9,123,11,0.4686,83.59,78.88
0,0.9,123,12,0.4538,84.22,79.50
0,0.9,123,13,0.4356,84.94,72.16
0,0.9,123,14,0.4226,85.55,80.25
0,0.9,123,15,0.4087,85.83,81.00
0,0.9,123,16,0.3984,86.09,83.54
0,0.9,123,17,0.3905,86.35,83.39
0,0.9,123,18,0.3781,86.86,83.42
0,0.9,123,19,0.3701,87.16,80.00
0,0.9,123,20,0.3665,87.24,83.84
0,0.9,123,21,0.3552,87.74,76.07
0,0.9,123,22,0.3440,88.11,83.83
0,0.9,123,23,0.3457,88.00,85.68
0,0.9,123,24,0.3356,88.30,84.31
0,0.9,123,25,0.3332,88.52,84.63
0,0.9,123,26,0.3261,88.79,81.66
0,0.9,123,27,0.3216,88.77,85.05
0,0.9,123,28,0.3122,89.11,78.94
0,0.9,123,29,0.3070,89.32,84.69
0,0.9,123,30,0.3091,89.33,83.69
0,0.9,123,31,0.2186,92.48,89.44
0,0.9,123,32,0.1861,93.63,89.50
0,0.9,123,33,0.1765,94.03,89.61
0,0.9,123,34,0.1649,94.27,89.67
0,0.9,123,35,0.1597,94.46,89.92
0,0.9,123,36,0.1564,94.61,90.03
0,0.9,123,37,0.1529,94.77,89.74
0,0.9,123,38,0.1489,94.79,89.93
0,0.9,123,39,0.1427,95.07,90.16
0,0.9,123,40,0.1425,94.92,89.89
0,0.9,123,41,0.1313,95.37,90.21
0,0.9,123,42,0.1291,95.54,90.26
0,0.9,123,43,0.1238,95.77,90.13
0,0.9,123,44,0.1233,95.79,90.21
0,0.9,123,45,0.1255,95.74,90.20
0,0.9,123,46,0.1236,95.82,90.24
0,0.9,123,47,0.1219,95.83,90.34
0,0.9,123,48,0.1239,95.69,90.35
0,0.9,123,49,0.1234,95.85,90.25
0,0.9,123,50,0.1230,95.73,90.21
