tau,momentum,seed,epoch,train_loss,train_acc,test_acc
10,0.5,123,1,3.5672,10.59,11.57
10,0.5,123,2,2.2942,12.45,14.33
10,0.5,123,3,2.2713,14.06,16.05
10,0.5,123,4,2.2101,15.83,14.35
10,0.5,123,5,2.1669,17.27,18.21
10,0.5,123,6,2.1430,18.09,19.02
10,0.5,123,7,2.0380,20.56,21.74
10,0.5,123,8,2.0128,22.99,16.62
10,0.5,123,9,1.9691,24.50,25.59
10,0.5,123,10,1.8832,27.29,22.07
10,0.5,123,11,1.8210,29.91,30.52
10,0.5,123,12,1.7521,32.63,37.77
10,0.5,123,13,1.7211,34.63,35.50
10,0.5,123,14,1.6400,38.04,38.04
10,0.5,123,15,1.5581,41.79,41.91
10,0.5,123,16,1.5221,43.67,41.48
10,0.5,123,17,1.4407,46.61,40.69
10,0.5,123,18,1.4145,48.46,38.90
10,0.5,123,19,1.3415,50.56,50.71
10,0.5,123,20,1.2942,52.62,49.94
10,0.5,123,21,1.2407,55.10,46.54
10,0.5,123,22,1.1821,56.98,51.99
10,0.5,123,23,1.1532,57.96,53.92
10,0.5,123,24,1.1141,59.72,55.57
10,0.5,123,25,1.0610,61.92,51.70
10,0.5,123,26,1.0285,63.13,58.19
10,0.5,123,27,0.9927,64.62,54.99
10,0.5,123,28,0.9560,66.12,52.34
10,0.5,123,29,0.9120,67.37,61.36
10,0.5,123,30,0.9008,68.22,65.06
10,0.5,123,31,0.7601,73.42,74.19
10,0.5,123,32,0.7250,74.68,75.01
10,0.5,123,33,0.7154,74.91,74.95
10,0.5,123,34,0.7041,75.38,75.44
10,0.5,123,35,0.6981,75.53,75.61
10,0.5,123,36,0.6925,75.59,75.88
10,0.5,123,37,0.6860,75.98,75.70
10,0.5,123,38,0.6826,76.03,76.03
10,0.5,123,39,0.6762,76.33,76.42
10,0.5,123,40,0.6726,76.44,76.59
10,0.5,123,41,0.6672,76.69,76.39
10,0.5,123,42,0.6659,76.67,76.63
10,0.5,123,43,0.6633,76.76,76.74
10,0.5,123,44,0.6659,76.67,76.66
10,0.5,123,45,0.6576,77.03,76.59
10,0.5,123,46,0.6631,76.80,76.90
10,0.5,123,47,0.6604,76.82,76.73
10,0.5,123,48,0.6609,76.91,76.71
10,0.5,123,49,0.6620,76.92,76.62
10,0.5,123,50,0.6574,76.93,76.82
