tau,momentum,seed,epoch,train_loss,train_acc,test_acc
2,0.0,456,1,1.9866,28.30,33.85
2,0.0,456,2,1.5728,40.73,38.91
2,0.0,456,3,1.3726,49.46,49.57
2,0.0,456,4,1.2108,55.91,56.12
2,0.0,456,5,1.0811,61.01,56.64
2,0.0,456,6,0.9729,65.07,66.24
2,0.0,456,7,0.8879,68.17,68.57
2,0.0,456,8,0.8202,70.88,66.98
2,0.0,456,9,0.7596,73.16,69.95
2,0.0,456,10,0.7122,75.01,73.85
2,0.0,456,11,0.6729,76.35,72.87
2,0.0,456,12,0.6376,77.37,75.16
2,0.0,456,13,0.6148,78.59,76.94
2,0.0,456,14,0.5774,79.83,73.54
2,0.0,456,15,0.5625,80.34,78.03
2,0.0,456,16,0.5436,81.06,74.34
2,0.0,456,17,0.5182,82.08,77.40
2,0.0,456,18,0.5060,82.32,79.13
2,0.0,456,19,0.4863,83.09,77.29
2,0.0,456,20,0.4743,83.47,79.56
2,0.0,456,21,0.4593,84.08,80.20
2,0.0,456,22,0.4477,84.50,80.70
2,0.0,456,23,0.4393,84.60,74.00
2,0.0,456,24,0.4230,85.09,81.49
2,0.0,456,25,0.4189,85.40,81.40
2,0.0,456,26,0.4066,85.78,81.41
2,0.0,456,27,0.3953,86.18,79.52
2,0.0,456,28,0.3854,86.55,81.18
2,0.0,456,29,0.3840,86.48,76.75
2,0.0,456,30,0.3701,87.00,82.98
2,0.0,456,31,0.3068,89.43,86.67
2,0.0,456,32,0.2926,89.94,86.57
2,0.0,456,33,0.2888,90.06,86.79
2,0.0,456,34,0.2851,90.22,86.81
2,0.0,456,35,0.2803,90.41,86.73
2,0.0,456,36,0.2761,90.46,86.80
2,0.0,456,37,0.2772,90.48,86.89
2,0.0,456,38,0.2752,90.64,86.85
2,0.0,456,39,0.2748,90.51,86.88
2,0.0,456,40,0.2714,90.55,86.65
2,0.0,456,41,0.2660,90.87,86.91
2,0.0,456,42,0.2671,90.86,86.96
2,0.0,456,43,0.2642,90.80,86.92
2,0.0,456,44,0.2643,90.82,86.94
2,0.0,456,45,0.2621,91.11,86.87
2,0.0,456,46,0.2658,90.81,87.04
2,0.0,456,47,0.2608,91.18,86.96
2,0.0,456,48,0.2616,90.92,87.02
2,0.0,456,49,0.2623,90.94,87.06
2,0.0,456,50,0.2603,90.91,87.08
