tau,momentum,seed,epoch,train_loss,train_acc,test_acc
10,0.5,42,1,3.3439,11.03,12.13
10,0.5,42,2,2.2666,12.42,16.51
10,0.5,42,3,2.1749,16.51,20.11
10,0.5,42,4,2.0608,21.12,19.91
10,0.5,42,5,1.9931,23.55,19.71
10,0.5,42,6,1.9027,26.62,29.94
10,0.5,42,7,1.8242,30.55,33.89
10,0.5,42,8,1.7709,32.89,31.92
10,0.5,42,9,1.7196,34.67,36.71
10,0.5,42,10,1.6691,36.77,38.87
10,0.5,42,11,1.6074,39.36,40.43
10,0.5,42,12,1.5495,41.53,45.54
10,0.5,42,13,1.4707,44.74,44.41
10,0.5,42,14,1.4170,47.31,46.95
10,0.5,42,15,1.3422,50.11,42.23
10,0.5,42,16,1.2878,52.59,56.63
10,0.5,42,17,1.2115,55.19,56.99
10,0.5,42,18,1.1726,56.91,55.85
10,0.5,42,19,1.1244,58.96,53.93
10,0.5,42,20,1.1046,59.82,58.71
10,0.5,42,21,1.0437,62.14,45.84
10,0.5,42,22,0.9978,64.36,59.58
10,0.5,42,23,0.9683,65.57,59.64
10,0.5,42,24,0.9322,66.64,62.61
10,0.5,42,25,0.9033,68.11,65.66
10,0.5,42,26,0.8721,69.04,66.20
10,0.5,42,27,0.8176,71.16,67.18
10,0.5,42,28,0.7944,71.92,69.97
10,0.5,42,29,0.7752,72.87,66.57
10,0.5,42,30,0.7558,73.35,69.25
10,0.5,42,31,0.6312,78.08,78.61
10,0.5,42,32,0.5969,79.32,78.96
10,0.5,42,33,0.5858,79.73,79.38
10,0.5,42,34,0.5797,79.91,79.41
10,0.5,42,35,0.5744,79.95,79.76
10,0.5,42,36,0.5703,80.26,79.71
10,0.5,42,37,0.5638,80.37,79.83
10,0.5,42,38,0.5614,80.54,79.86
10,0.5,42,39,0.5508,80.89,80.29
10,0.5,42,40,0.5563,80.52,80.10
10,0.5,42,41,0.5453,81.08,80.06
10,0.5,42,42,0.5448,81.04,80.08
10,0.5,42,43,0.5427,81.23,80.14
10,0.5,42,44,0.5419,81.09,80.17
10,0.5,42,45,0.5418,81.09,80.22
10,0.5,42,46,0.5441,81.07,80.25
10,0.5,42,47,0.5407,81.09,80.01
10,0.5,42,48,0.5383,81.25,80.34
10,0.5,42,49,0.5415,81.17,80.19
10,0.5,42,50,0.5387,81.31,80.20
