num_workers,mean_accuracy,std_accuracy,mean_error,std_error,mean_macro_f1,std_macro_f1
15,17.6960,17.2088,82.3040,17.2088,10.9317,20.3784
16,24.3180,21.5896,75.6820,21.5896,18.8748,25.2653
