tau,momentum,seed,epoch,train_loss,train_acc,test_acc
20,0.9,456,1,109.6474,10.26,9.53
20,0.9,456,2,5.3857,10.07,10.00
20,0.9,456,3,4.5155,9.91,10.00
20,0.9,456,4,4.6529,9.79,9.99
20,0.9,456,5,4.6324,9.96,10.00
20,0.9,456,6,4.5230,9.96,10.00
20,0.9,456,7,4.2730,10.05,10.00
20,0.9,456,8,4.4156,10.08,10.00
20,0.9,456,9,4.0851,9.70,10.00
20,0.9,456,10,4.3849,9.81,10.01
20,0.9,456,11,4.5490,9.85,10.00
20,0.9,456,12,4.5684,10.01,10.00
20,0.9,456,13,4.3481,9.94,10.00
20,0.9,456,14,4.4999,9.91,10.00
20,0.9,456,15,4.3340,10.09,10.01
20,0.9,456,16,4.2182,9.93,10.02
20,0.9,456,17,4.5443,9.97,10.01
20,0.9,456,18,4.6773,10.09,10.00
20,0.9,456,19,4.6880,10.03,10.00
20,0.9,456,20,4.5741,9.97,10.00
20,0.9,456,21,4.5645,10.05,10.00
20,0.9,456,22,4.2949,10.15,10.00
20,0.9,456,23,4.2237,9.81,10.01
20,0.9,456,24,4.2058,9.80,10.06
20,0.9,456,25,4.4179,10.10,10.00
20,0.9,456,26,4.5064,10.04,10.00
20,0.9,456,27,4.1368,9.93,10.00
20,0.9,456,28,4.1179,9.96,10.02
20,0.9,456,29,4.3678,9.98,10.00
20,0.9,456,30,4.4884,10.03,10.00
20,0.9,456,31,3.0384,10.21,9.99
20,0.9,456,32,2.3221,9.67,10.01
20,0.9,456,33,2.3028,9.99,9.99
20,0.9,456,34,2.3029,9.81,10.00
20,0.9,456,35,2.3029,9.93,10.03
20,0.9,456,36,2.3029,9.59,10.02
20,0.9,456,37,2.3029,9.87,9.99
20,0.9,456,38,2.3028,9.85,9.99
20,0.9,456,39,2.3028,9.96,10.00
20,0.9,456,40,2.3028,9.96,9.99
20,0.9,456,41,2.3027,10.00,10.00
20,0.9,456,42,2.3027,10.00,10.02
20,0.9,456,43,2.3026,9.75,10.01
20,0.9,456,44,2.3026,10.00,10.01
20,0.9,456,45,2.3026,9.99,10.00
20,0.9,456,46,2.3026,10.02,10.03
20,0.9,456,47,2.3026,9.84,10.00
20,0.9,456,48,2.3026,9.82,10.02
20,0.9,456,49,2.3026,9.91,10.04
20,0.9,456,50,2.3026,9.78,10.03
