tau,momentum,seed,epoch,train_loss,train_acc,test_acc
2,0.0,42,1,1.9815,28.50,34.21
2,0.0,42,2,1.5417,42.38,45.82
2,0.0,42,3,1.3444,50.66,48.20
2,0.0,42,4,1.1794,57.13,58.67
2,0.0,42,5,1.0530,62.24,59.74
2,0.0,42,6,0.9561,65.62,65.28
2,0.0,42,7,0.8749,68.97,66.28
2,0.0,42,8,0.8069,71.36,67.67
2,0.0,42,9,0.7503,73.52,71.37
2,0.0,42,10,0.7071,75.32,73.46
2,0.0,42,11,0.6690,76.63,75.25
2,0.0,42,12,0.6380,77.74,76.39
2,0.0,42,13,0.6092,78.82,67.82
2,0.0,42,14,0.5869,79.48,75.35
2,0.0,42,15,0.5610,80.35,79.35
2,0.0,42,16,0.5384,81.43,77.01
2,0.0,42,17,0.5224,81.83,79.06
2,0.0,42,18,0.5109,82.29,71.33
2,0.0,42,19,0.4978,82.71,78.71
2,0.0,42,20,0.4794,83.24,79.54
2,0.0,42,21,0.4673,83.72,82.23
2,0.0,42,22,0.4551,84.11,74.59
2,0.0,42,23,0.4434,84.54,79.03
2,0.0,42,24,0.4303,85.09,80.96
2,0.0,42,25,0.4184,85.45,82.24
2,0.0,42,26,0.4084,85.69,77.23
2,0.0,42,27,0.4003,86.05,83.68
2,0.0,42,28,0.3923,86.19,81.95
2,0.0,42,29,0.3800,86.81,78.00
2,0.0,42,30,0.3747,86.80,80.04
2,0.0,42,31,0.3118,89.26,86.20
2,0.0,42,32,0.2996,89.74,86.51
2,0.0,42,33,0.2935,89.98,86.50
2,0.0,42,34,0.2893,90.10,86.40
2,0.0,42,35,0.2872,90.06,86.37
2,0.0,42,36,0.2811,90.46,86.41
2,0.0,42,37,0.2823,90.36,86.55
2,0.0,42,38,0.2798,90.42,86.61
2,0.0,42,39,0.2753,90.63,86.56
2,0.0,42,40,0.2763,90.28,86.69
2,0.0,42,41,0.2686,90.76,86.68
2,0.0,42,42,0.2710,90.63,86.87
2,0.0,42,43,0.2655,90.97,86.77
2,0.0,42,44,0.2666,90.93,86.78
2,0.0,42,45,0.2671,90.88,86.85
2,0.0,42,46,0.2697,90.65,86.78
2,0.0,42,47,0.2648,90.89,86.86
2,0.0,42,48,0.2636,90.91,86.90
2,0.0,42,49,0.2670,90.81,86.82
2,0.0,42,50,0.2666,90.81,86.94
