tau,momentum,seed,epoch,train_loss,train_acc,test_acc
20,0.0,123,1,4.5016,10.15,10.45
20,0.0,123,2,2.3025,11.45,11.75
20,0.0,123,3,2.2938,13.18,13.09
20,0.0,123,4,2.2786,14.04,15.08
20,0.0,123,5,2.2435,15.61,18.24
20,0.0,123,6,2.1428,18.97,17.79
20,0.0,123,7,2.1453,18.71,20.08
20,0.0,123,8,2.0546,21.68,21.76
20,0.0,123,9,2.0610,21.15,20.82
20,0.0,123,10,1.9698,23.18,23.07
20,0.0,123,11,1.9811,23.04,27.22
20,0.0,123,12,1.9313,25.15,26.73
20,0.0,123,13,1.9313,26.02,27.64
20,0.0,123,14,1.9286,25.41,25.59
20,0.0,123,15,1.8317,28.74,29.95
20,0.0,123,16,1.8258,29.67,28.93
20,0.0,123,17,1.8132,29.65,30.16
20,0.0,123,18,1.7864,31.60,33.70
20,0.0,123,19,1.7821,31.65,36.02
20,0.0,123,20,1.7173,33.97,28.63
20,0.0,123,21,1.6989,35.35,36.35
20,0.0,123,22,1.6780,36.93,37.34
20,0.0,123,23,1.6598,36.82,34.26
20,0.0,123,24,1.6411,38.54,38.43
20,0.0,123,25,1.5993,40.15,39.15
20,0.0,123,26,1.5464,41.76,35.16
20,0.0,123,27,1.5432,42.56,36.02
20,0.0,123,28,1.4839,44.75,41.95
20,0.0,123,29,1.4289,46.97,46.38
20,0.0,123,30,1.4757,45.57,43.75
20,0.0,123,31,1.2994,52.42,55.03
20,0.0,123,32,1.2596,54.45,55.36
20,0.0,123,33,1.2485,54.70,55.52
20,0.0,123,34,1.2384,54.99,56.17
20,0.0,123,35,1.2286,55.51,56.65
20,0.0,123,36,1.2190,55.59,57.01
20,0.0,123,37,1.2102,56.35,57.14
20,0.0,123,38,1.2046,56.32,57.14
20,0.0,123,39,1.1951,56.88,57.72
20,0.0,123,40,1.1859,57.16,57.83
20,0.0,123,41,1.1783,57.20,58.01
20,0.0,123,42,1.1752,57.71,58.02
20,0.0,123,43,1.1772,57.83,57.82
20,0.0,123,44,1.1802,57.06,58.09
20,0.0,123,45,1.1750,57.69,58.01
20,0.0,123,46,1.1737,57.56,58.20
20,0.0,123,47,1.1759,57.44,58.28
20,0.0,123,48,1.1775,57.72,58.36
20,0.0,123,49,1.1739,57.71,58.21
20,0.0,123,50,1.1722,57.54,58.09
