tau,momentum,seed,epoch,train_loss,train_acc,test_acc
20,0.0,42,1,4.3676,10.80,10.59
20,0.0,42,2,2.3017,10.62,9.98
20,0.0,42,3,2.2980,11.07,10.84
20,0.0,42,4,2.2967,11.08,11.59
20,0.0,42,5,2.2939,11.91,10.47
20,0.0,42,6,2.2898,11.94,12.45
20,0.0,42,7,2.2690,14.40,15.72
20,0.0,42,8,2.1643,17.09,18.14
20,0.0,42,9,2.1123,18.27,18.26
20,0.0,42,10,2.0750,19.16,18.37
20,0.0,42,11,2.0631,19.36,19.63
20,0.0,42,12,2.0256,20.17,21.10
20,0.0,42,13,2.0437,20.20,20.73
20,0.0,42,14,1.9800,21.37,21.54
20,0.0,42,15,1.9584,22.28,21.33
20,0.0,42,16,1.9370,23.64,24.47
20,0.0,42,17,1.9194,24.58,22.13
20,0.0,42,18,1.9030,25.76,24.38
20,0.0,42,19,1.8089,28.77,29.65
20,0.0,42,20,1.7659,30.86,28.06
20,0.0,42,21,1.7683,30.81,32.51
20,0.0,42,22,1.7486,31.48,31.98
20,0.0,42,23,1.7166,32.91,31.55
20,0.0,42,24,1.6890,33.95,32.13
20,0.0,42,25,1.7114,33.37,36.75
20,0.0,42,26,1.6943,34.81,37.53
20,0.0,42,27,1.6508,36.35,36.62
20,0.0,42,28,1.6307,37.56,33.38
20,0.0,42,29,1.6389,37.78,37.65
20,0.0,42,30,1.5983,39.61,36.65
20,0.0,42,31,1.4557,45.62,47.39
20,0.0,42,32,1.4142,47.24,48.13
20,0.0,42,33,1.4004,47.92,48.70
20,0.0,42,34,1.3843,48.35,48.96
20,0.0,42,35,1.3720,49.17,49.48
20,0.0,42,36,1.3640,49.41,50.17
20,0.0,42,37,1.3524,49.90,50.46
20,0.0,42,38,1.3415,50.34,50.61
20,0.0,42,39,1.3326,50.67,51.29
20,0.0,42,40,1.3275,50.73,52.00
20,0.0,42,41,1.3187,51.16,51.80
20,0.0,42,42,1.3168,51.34,51.93
20,0.0,42,43,1.3180,51.24,51.82
20,0.0,42,44,1.3143,51.57,51.78
20,0.0,42,45,1.3135,51.33,52.02
20,0.0,42,46,1.3131,51.53,52.06
20,0.0,42,47,1.3135,51.54,52.09
20,0.0,42,48,1.3130,51.68,52.15
20,0.0,42,49,1.3103,51.84,52.46
20,0.0,42,50,1.3121,51.49,52.32
