tau,momentum,seed,epoch,train_loss,train_acc,test_acc
2,0.5,123,1,2.1362,26.15,37.19
2,0.5,123,2,1.5942,40.02,38.15
2,0.5,123,3,1.3791,48.94,47.69
2,0.5,123,4,1.2007,56.08,59.73
2,0.5,123,5,1.0553,61.95,61.75
2,0.5,123,6,0.9668,65.64,67.14
2,0.5,123,7,0.8849,68.58,67.45
2,0.5,123,8,0.8191,70.95,64.77
2,0.5,123,9,0.7558,73.30,65.80
2,0.5,123,10,0.6980,75.30,74.95
2,0.5,123,11,0.6580,76.84,73.72
2,0.5,123,12,0.6224,78.38,76.63
2,0.5,123,13,0.5887,79.45,73.65
2,0.5,123,14,0.5613,80.50,78.04
2,0.5,123,15,0.5378,81.32,77.38
2,0.5,123,16,0.5209,81.76,78.54
2,0.5,123,17,0.5009,82.41,81.10
2,0.5,123,18,0.4850,83.02,78.66
2,0.5,123,19,0.4675,83.71,82.21
2,0.5,123,20,0.4496,84.41,78.55
2,0.5,123,21,0.4393,84.66,72.91
2,0.5,123,22,0.4291,84.94,80.90
2,0.5,123,23,0.4145,85.64,83.84
2,0.5,123,24,0.3989,86.37,81.56
2,0.5,123,25,0.3978,86.17,83.16
2,0.5,123,26,0.3889,86.34,78.47
2,0.5,123,27,0.3724,86.99,81.51
2,0.5,123,28,0.3671,87.07,83.04
2,0.5,123,29,0.3581,87.41,78.62
2,0.5,123,30,0.3553,87.72,83.87
2,0.5,123,31,0.2810,90.23,87.41
2,0.5,123,32,0.2609,90.97,87.41
2,0.5,123,33,0.2540,91.24,87.56
2,0.5,123,34,0.2467,91.56,87.78
2,0.5,123,35,0.2454,91.46,87.88
2,0.5,123,36,0.2443,91.61,87.77
2,0.5,123,37,0.2398,91.80,87.76
2,0.5,123,38,0.2349,91.90,87.74
2,0.5,123,39,0.2336,91.92,88.01
2,0.5,123,40,0.2292,92.12,87.87
2,0.5,123,41,0.2252,92.13,87.97
2,0.5,123,42,0.2241,92.18,87.96
2,0.5,123,43,0.2216,92.33,87.92
2,0.5,123,44,0.2199,92.39,87.91
2,0.5,123,45,0.2203,92.35,87.83
2,0.5,123,46,0.2199,92.48,88.01
2,0.5,123,47,0.2191,92.47,88.01
2,0.5,123,48,0.2218,92.33,87.95
2,0.5,123,49,0.2221,92.28,87.95
2,0.5,123,50,0.2196,92.42,87.90
