tau,momentum,seed,epoch,train_loss,train_acc,test_acc
10,0.5,456,1,3.5798,10.40,10.45
10,0.5,456,2,2.3005,10.68,10.48
10,0.5,456,3,2.2987,10.86,10.79
10,0.5,456,4,2.2949,11.49,11.06
10,0.5,456,5,2.2862,12.61,11.97
10,0.5,456,6,2.2102,15.83,18.58
10,0.5,456,7,2.1293,18.22,18.63
10,0.5,456,8,2.1003,19.11,20.95
10,0.5,456,9,2.0531,19.89,21.68
10,0.5,456,10,2.0296,20.54,19.16
10,0.5,456,11,1.9931,22.69,23.99
10,0.5,456,12,1.9389,25.01,24.41
10,0.5,456,13,1.9102,26.48,27.52
10,0.5,456,14,1.8374,29.92,27.98
10,0.5,456,15,1.7930,31.13,33.65
10,0.5,456,16,1.7395,33.57,33.40
10,0.5,456,17,1.7073,34.92,35.94
10,0.5,456,18,1.6799,36.37,34.58
10,0.5,456,19,1.6380,38.04,36.86
10,0.5,456,20,1.6040,39.98,36.86
10,0.5,456,21,1.5580,41.72,37.01
10,0.5,456,22,1.5010,44.05,38.22
10,0.5,456,23,1.4430,46.59,43.81
10,0.5,456,24,1.4109,48.13,39.47
10,0.5,456,25,1.3618,50.35,48.84
10,0.5,456,26,1.2964,52.43,41.10
10,0.5,456,27,1.2558,54.62,49.19
10,0.5,456,28,1.1911,56.70,48.08
10,0.5,456,29,1.1267,59.31,59.33
10,0.5,456,30,1.0821,61.40,56.29
10,0.5,456,31,0.9137,67.91,69.13
10,0.5,456,32,0.8789,68.95,69.61
10,0.5,456,33,0.8613,69.61,70.00
10,0.5,456,34,0.8538,69.70,70.43
10,0.5,456,35,0.8424,70.33,70.80
10,0.5,456,36,0.8343,70.64,71.06
10,0.5,456,37,0.8250,70.68,71.11
10,0.5,456,38,0.8158,70.86,71.75
10,0.5,456,39,0.8052,71.66,71.71
10,0.5,456,40,0.7992,71.83,72.01
10,0.5,456,41,0.7948,72.09,72.07
10,0.5,456,42,0.7898,72.11,72.14
10,0.5,456,43,0.7896,72.27,72.16
10,0.5,456,44,0.7883,72.09,72.36
10,0.5,456,45,0.7862,72.20,72.46
10,0.5,456,46,0.7871,72.17,72.28
10,0.5,456,47,0.7893,72.16,72.35
10,0.5,456,48,0.7869,72.30,72.31
10,0.5,456,49,0.7860,72.45,72.33
10,0.5,456,50,0.7823,72.29,72.38
