tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
5,0.9,123,1,2.7313,10.30,10.03,1.0,A,0.0812,fixed,0.9000,0.3,geometric,6
5,0.9,123,2,2.3074,10.13,10.06,1.0,A,0.0830,fixed,0.9000,0.3,geometric,6
5,0.9,123,3,2.3085,10.11,9.99,1.0,A,0.1292,fixed,0.9000,0.3,geometric,6
5,0.9,123,4,2.3058,10.32,10.48,1.0,A,0.0653,fixed,0.9000,0.3,geometric,6
5,0.9,123,5,2.2971,11.35,12.19,1.0,A,0.0729,fixed,0.9000,0.3,geometric,6
5,0.9,123,6,2.2056,15.40,18.58,1.0,A,0.1544,fixed,0.9000,0.3,geometric,6
5,0.9,123,7,2.0704,20.36,19.60,1.0,A,0.2696,fixed,0.9000,0.3,geometric,6
5,0.9,123,8,1.9599,24.76,27.98,1.0,A,0.2605,fixed,0.9000,0.3,geometric,6
5,0.9,123,9,1.8757,28.90,27.50,1.0,A,0.2473,fixed,0.9000,0.3,geometric,6
5,0.9,123,10,1.8147,31.89,26.62,1.0,A,0.2439,fixed,0.9000,0.3,geometric,6
5,0.9,123,11,1.7852,33.44,32.35,1.0,A,0.2690,fixed,0.9000,0.3,geometric,6
5,0.9,123,12,1.7160,36.30,33.03,1.0,A,0.2557,fixed,0.9000,0.3,geometric,6
5,0.9,123,13,1.6425,39.11,41.98,1.0,A,0.2396,fixed,0.9000,0.3,geometric,6
5,0.9,123,14,1.5865,40.93,39.49,1.0,A,0.2160,fixed,0.9000,0.3,geometric,6
5,0.9,123,15,1.4686,45.58,37.92,1.0,A,0.1854,fixed,0.9000,0.3,geometric,6
5,0.9,123,16,1.4577,46.39,48.06,1.0,A,0.2190,fixed,0.9000,0.3,geometric,6
5,0.9,123,17,1.3835,49.42,47.47,1.0,A,0.1843,fixed,0.9000,0.3,geometric,6
5,0.9,123,18,1.3803,49.94,49.27,1.0,A,0.2043,fixed,0.9000,0.3,geometric,6
5,0.9,123,19,1.3276,51.93,48.71,1.0,A,0.1971,fixed,0.9000,0.3,geometric,6
5,0.9,123,20,1.2374,54.99,54.02,1.0,A,0.1822,fixed,0.9000,0.3,geometric,6
5,0.9,123,21,1.2483,55.33,55.64,1.0,A,0.2012,fixed,0.9000,0.3,geometric,6
5,0.9,123,22,1.1465,59.23,55.41,1.0,A,0.1596,fixed,0.9000,0.3,geometric,6
5,0.9,123,23,1.1866,57.72,60.97,1.0,A,0.1775,fixed,0.9000,0.3,geometric,6
5,0.9,123,24,1.0473,62.54,55.93,1.0,A,0.1549,fixed,0.9000,0.3,geometric,6
5,0.9,123,25,1.0455,62.63,62.77,1.0,A,0.1659,fixed,0.9000,0.3,geometric,6
5,0.9,123,26,0.9672,65.70,68.93,1.0,A,0.1273,fixed,0.9000,0.3,geometric,6
5,0.9,123,27,0.9465,66.88,65.31,1.0,A,0.1400,fixed,0.9000,0.3,geometric,6
5,0.9,123,28,0.9152,67.97,67.73,1.0,A,0.1380,fixed,0.9000,0.3,geometric,6
5,0.9,123,29,0.9244,67.72,67.67,1.0,A,0.1408,fixed,0.9000,0.3,geometric,6
5,0.9,123,30,0.8411,70.66,61.89,1.0,A,0.1218,fixed,0.9000,0.3,geometric,6
5,0.9,123,31,0.6826,76.37,77.87,1.0,A,0.0346,fixed,0.9000,0.3,geometric,6
5,0.9,123,32,0.6307,78.08,78.33,1.0,A,0.0067,fixed,0.9000,0.3,geometric,6
5,0.9,123,33,0.6175,78.56,78.45,1.0,A,0.0055,fixed,0.9000,0.3,geometric,6
5,0.9,123,34,0.6070,78.68,78.92,1.0,A,0.0136,fixed,0.9000,0.3,geometric,6
5,0.9,123,35,0.5997,79.15,79.24,1.0,A,0.0091,fixed,0.9000,0.3,geometric,6
5,0.9,123,36,0.5887,79.38,79.49,1.0,A,0.0060,fixed,0.9000,0.3,geometric,6
5,0.9,123,37,0.5799,79.73,79.46,1.0,A,0.0060,fixed,0.9000,0.3,geometric,6
5,0.9,123,38,0.5770,79.87,79.91,1.0,A,0.0079,fixed,0.9000,0.3,geometric,6
5,0.9,123,39,0.5723,80.09,79.64,1.0,A,0.0105,fixed,0.9000,0.3,geometric,6
5,0.9,123,40,0.5616,80.40,80.35,1.0,A,0.0092,fixed,0.9000,0.3,geometric,6
5,0.9,123,41,0.5499,80.73,80.61,1.0,A,0.0094,fixed,0.9000,0.3,geometric,6
5,0.9,123,42,0.5483,80.78,80.66,1.0,A,0.0028,fixed,0.9000,0.3,geometric,6
5,0.9,123,43,0.5437,81.15,80.49,1.0,A,-0.0001,fixed,0.9000,0.3,geometric,6
5,0.9,123,44,0.5440,80.90,80.47,1.0,A,-0.0024,fixed,0.9000,0.3,geometric,6
5,0.9,123,45,0.5413,81.13,80.60,1.0,A,0.0025,fixed,0.9000,0.3,geometric,6
5,0.9,123,46,0.5424,81.26,80.71,1.0,A,-0.0014,fixed,0.9000,0.3,geometric,6
5,0.9,123,47,0.5407,81.14,80.68,1.0,A,0.0019,fixed,0.9000,0.3,geometric,6
5,0.9,123,48,0.5377,81.43,80.72,1.0,A,0.0021,fixed,0.9000,0.3,geometric,6
5,0.9,123,49,0.5386,81.15,80.73,1.0,A,-0.0017,fixed,0.9000,0.3,geometric,6
5,0.9,123,50,0.5407,81.19,80.64,1.0,A,-0.0013,fixed,0.9000,0.3,geometric,6
