tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset
20,0.0,42,1,4.3672,10.80,10.66,1.0,H,0.0665,above_bound,0.0000,0.1
20,0.0,42,2,2.3016,10.61,9.94,1.0,H,0.0400,above_bound,-0.3142,0.1
20,0.0,42,3,2.2984,10.76,10.66,1.0,H,0.0039,above_bound,-0.3142,0.1
20,0.0,42,4,2.2967,10.79,9.91,1.0,H,0.0422,above_bound,-0.3142,0.1
20,0.0,42,5,2.2943,11.03,10.38,1.0,H,0.0099,above_bound,-0.3142,0.1
20,0.0,42,6,2.2912,11.02,10.67,1.0,H,0.0078,above_bound,-0.3142,0.1
20,0.0,42,7,2.2868,11.32,11.47,1.0,H,0.0132,above_bound,-0.3142,0.1
20,0.0,42,8,2.2781,12.13,11.53,1.0,H,0.0169,above_bound,-0.3142,0.1
20,0.0,42,9,2.2417,13.94,15.43,1.0,H,0.0760,above_bound,-0.3142,0.1
20,0.0,42,10,2.1212,16.64,16.66,1.0,H,0.0737,above_bound,-0.3142,0.1
20,0.0,42,11,2.0899,16.96,19.24,1.0,H,0.0263,above_bound,-0.3142,0.1
20,0.0,42,12,2.0570,19.41,19.34,1.0,H,0.0253,above_bound,-0.3142,0.1
20,0.0,42,13,2.0609,19.40,19.07,1.0,H,0.0220,above_bound,-0.3142,0.1
20,0.0,42,14,2.0309,20.59,20.29,1.0,H,0.0428,above_bound,-0.3142,0.1
20,0.0,42,15,2.0141,21.24,20.22,1.0,H,0.0538,above_bound,-0.3142,0.1
20,0.0,42,16,1.9906,21.68,22.10,1.0,H,0.0263,above_bound,-0.3142,0.1
20,0.0,42,17,1.9678,22.18,23.74,1.0,H,0.0318,above_bound,-0.3142,0.1
20,0.0,42,18,1.9518,22.74,23.07,1.0,H,0.0135,above_bound,-0.3142,0.1
20,0.0,42,19,1.9435,23.56,25.99,1.0,H,0.0291,above_bound,-0.3142,0.1
20,0.0,42,20,1.9086,24.66,24.25,1.0,H,0.0182,above_bound,-0.3142,0.1
20,0.0,42,21,1.9153,24.33,26.50,1.0,H,0.0166,above_bound,-0.3142,0.1
20,0.0,42,22,1.8975,25.53,26.96,1.0,H,0.0364,above_bound,-0.3142,0.1
20,0.0,42,23,1.8794,26.41,25.12,1.0,H,0.0241,above_bound,-0.3142,0.1
20,0.0,42,24,1.8919,26.49,25.74,1.0,H,0.0411,above_bound,-0.3142,0.1
20,0.0,42,25,1.8243,27.92,26.63,1.0,H,0.0229,above_bound,-0.3142,0.1
20,0.0,42,26,1.8288,28.09,28.49,1.0,H,0.0246,above_bound,-0.3142,0.1
20,0.0,42,27,1.8420,28.26,26.58,1.0,H,0.0285,above_bound,-0.3142,0.1
20,0.0,42,28,1.8017,29.98,29.02,1.0,H,0.0259,above_bound,-0.3142,0.1
20,0.0,42,29,1.8019,30.37,28.93,1.0,H,0.0342,above_bound,-0.3142,0.1
20,0.0,42,30,1.7682,31.85,27.83,1.0,H,0.0254,above_bound,-0.3142,0.1
20,0.0,42,31,1.6419,37.62,39.52,1.0,H,0.0752,above_bound,0.6528,0.1
20,0.0,42,32,1.5887,39.88,40.52,1.0,H,0.0222,above_bound,0.6528,0.1
20,0.0,42,33,1.5760,40.14,40.93,1.0,H,0.0312,above_bound,0.6528,0.1
20,0.0,42,34,1.5577,41.02,40.04,1.0,H,0.0489,above_bound,0.6528,0.1
20,0.0,42,35,1.5549,41.34,40.12,1.0,H,0.0545,above_bound,0.6528,0.1
20,0.0,42,36,1.5362,41.91,40.79,1.0,H,0.0341,above_bound,0.6528,0.1
20,0.0,42,37,1.5145,42.74,43.00,1.0,H,0.0399,above_bound,0.6528,0.1
20,0.0,42,38,1.5172,43.18,42.18,1.0,H,0.0701,above_bound,0.6528,0.1
20,0.0,42,39,1.4830,44.27,41.31,1.0,H,0.0446,above_bound,0.6528,0.1
20,0.0,42,40,1.4838,44.68,45.21,1.0,H,0.0503,above_bound,0.6528,0.1
20,0.0,42,41,1.4240,47.50,49.29,1.0,H,0.0957,above_bound,0.9500,0.1
20,0.0,42,42,1.4087,48.09,45.10,1.0,H,0.1236,above_bound,0.9500,0.1
20,0.0,42,43,1.4105,47.98,48.64,1.0,H,0.1425,above_bound,0.9500,0.1
20,0.0,42,44,1.3775,49.61,48.11,1.0,H,0.1253,above_bound,0.9500,0.1
20,0.0,42,45,1.3895,48.56,45.69,1.0,H,0.1677,above_bound,0.9500,0.1
20,0.0,42,46,1.3693,49.82,50.96,1.0,H,0.1621,above_bound,0.9500,0.1
20,0.0,42,47,1.3458,50.94,50.66,1.0,H,0.1438,above_bound,0.9500,0.1
20,0.0,42,48,1.3200,51.82,50.15,1.0,H,0.1225,above_bound,0.9500,0.1
20,0.0,42,49,1.3625,50.30,51.54,1.0,H,0.1974,above_bound,0.9500,0.1
20,0.0,42,50,1.3287,51.32,49.99,1.0,H,0.1589,above_bound,0.9500,0.1
