tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied
5,0.0,42,1,2.4457,19.52,21.96,1.0,G,0.1091,at_bound,0.0000
5,0.0,42,2,1.9426,26.21,29.98,1.0,G,0.1157,at_bound,0.2929
5,0.0,42,3,1.7645,32.82,35.74,1.0,G,0.1212,at_bound,0.2929
5,0.0,42,4,1.6345,38.11,43.67,1.0,G,0.1214,at_bound,0.2929
5,0.0,42,5,1.4952,44.25,41.14,1.0,G,0.0999,at_bound,0.2929
5,0.0,42,6,1.3920,48.49,49.98,1.0,G,0.0960,at_bound,0.2929
5,0.0,42,7,1.2892,52.64,54.42,1.0,G,0.0916,at_bound,0.2929
5,0.0,42,8,1.1723,57.18,58.10,1.0,G,0.0772,at_bound,0.2929
5,0.0,42,9,1.0804,60.90,52.36,1.0,G,0.0721,at_bound,0.2929
5,0.0,42,10,1.0099,63.65,60.02,1.0,G,0.0708,at_bound,0.2929
5,0.0,42,11,0.9120,67.20,67.11,1.0,G,0.0588,at_bound,0.2929
5,0.0,42,12,0.8626,69.15,66.11,1.0,G,0.0578,at_bound,0.2929
5,0.0,42,13,0.7948,71.82,64.23,1.0,G,0.0470,at_bound,0.2929
5,0.0,42,14,0.7613,73.15,72.64,1.0,G,0.0526,at_bound,0.2929
5,0.0,42,15,0.7110,75.15,69.64,1.0,G,0.0417,at_bound,0.2929
5,0.0,42,16,0.6794,76.40,74.43,1.0,G,0.0459,at_bound,0.2929
5,0.0,42,17,0.6459,77.21,76.01,1.0,G,0.0398,at_bound,0.2929
5,0.0,42,18,0.6253,78.14,69.31,1.0,G,0.0440,at_bound,0.2929
5,0.0,42,19,0.5933,79.32,79.22,1.0,G,0.0320,at_bound,0.2929
5,0.0,42,20,0.5734,80.12,78.80,1.0,G,0.0370,at_bound,0.2929
5,0.0,42,21,0.5555,80.70,77.84,1.0,G,0.0401,at_bound,0.2929
5,0.0,42,22,0.5412,81.15,76.10,1.0,G,0.0356,at_bound,0.2929
5,0.0,42,23,0.5307,81.52,77.73,1.0,G,0.0367,at_bound,0.2929
5,0.0,42,24,0.5031,82.56,74.28,1.0,G,0.0307,at_bound,0.2929
5,0.0,42,25,0.4963,82.89,80.13,1.0,G,0.0386,at_bound,0.2929
5,0.0,42,26,0.4764,83.47,81.62,1.0,G,0.0320,at_bound,0.2929
5,0.0,42,27,0.4625,83.95,79.46,1.0,G,0.0297,at_bound,0.2929
5,0.0,42,28,0.4514,84.50,80.64,1.0,G,0.0275,at_bound,0.2929
5,0.0,42,29,0.4397,84.72,80.43,1.0,G,0.0302,at_bound,0.2929
5,0.0,42,30,0.4282,85.11,79.68,1.0,G,0.0291,at_bound,0.2929
5,0.0,42,31,0.3542,87.72,85.39,1.0,G,0.0105,at_bound,0.7764
5,0.0,42,32,0.3404,88.34,85.33,1.0,G,0.0063,at_bound,0.7764
5,0.0,42,33,0.3319,88.54,85.73,1.0,G,0.0103,at_bound,0.7764
5,0.0,42,34,0.3275,88.68,85.45,1.0,G,0.0100,at_bound,0.7764
5,0.0,42,35,0.3231,88.82,86.00,1.0,G,0.0076,at_bound,0.7764
5,0.0,42,36,0.3188,88.75,85.58,1.0,G,0.0105,at_bound,0.7764
5,0.0,42,37,0.3147,89.03,86.01,1.0,G,0.0120,at_bound,0.7764
5,0.0,42,38,0.3102,89.28,85.33,1.0,G,0.0134,at_bound,0.7764
5,0.0,42,39,0.3065,89.27,85.86,1.0,G,0.0122,at_bound,0.7764
5,0.0,42,40,0.3033,89.25,86.03,1.0,G,0.0117,at_bound,0.7764
5,0.0,42,41,0.2802,90.49,86.42,1.0,G,0.0056,at_bound,0.9293
5,0.0,42,42,0.2760,90.50,86.59,1.0,G,0.0003,at_bound,0.9293
5,0.0,42,43,0.2751,90.52,86.96,1.0,G,0.0045,at_bound,0.9293
5,0.0,42,44,0.2746,90.49,86.85,1.0,G,0.0036,at_bound,0.9293
5,0.0,42,45,0.2707,90.46,86.88,1.0,G,-0.0001,at_bound,0.9293
5,0.0,42,46,0.2696,90.68,86.78,1.0,G,0.0016,at_bound,0.9293
5,0.0,42,47,0.2682,90.85,86.81,1.0,G,-0.0018,at_bound,0.9293
5,0.0,42,48,0.2641,90.77,86.88,1.0,G,0.0032,at_bound,0.9293
5,0.0,42,49,0.2599,91.03,86.89,1.0,G,0.0010,at_bound,0.9293
5,0.0,42,50,0.2592,90.94,86.96,1.0,G,0.0046,at_bound,0.9293
