tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset
10,0.0,123,1,3.2254,11.40,11.49,1.0,H,0.0591,above_bound,0.0000,0.5
10,0.0,123,2,2.2703,14.53,18.70,1.0,H,0.0931,above_bound,0.5000,0.5
10,0.0,123,3,2.0934,19.70,22.03,1.0,H,0.1023,above_bound,0.5000,0.5
10,0.0,123,4,1.9857,23.68,24.79,1.0,H,0.0849,above_bound,0.5000,0.5
10,0.0,123,5,1.8997,26.86,29.07,1.0,H,0.0979,above_bound,0.5000,0.5
10,0.0,123,6,1.7951,31.66,34.39,1.0,H,0.0891,above_bound,0.5000,0.5
10,0.0,123,7,1.7142,35.28,32.24,1.0,H,0.0813,above_bound,0.5000,0.5
10,0.0,123,8,1.6298,38.53,41.43,1.0,H,0.0792,above_bound,0.5000,0.5
10,0.0,123,9,1.5755,41.35,43.63,1.0,H,0.0802,above_bound,0.5000,0.5
10,0.0,123,10,1.4824,45.19,40.67,1.0,H,0.0708,above_bound,0.5000,0.5
10,0.0,123,11,1.4017,48.42,43.77,1.0,H,0.0662,above_bound,0.5000,0.5
10,0.0,123,12,1.3177,51.73,50.58,1.0,H,0.0594,above_bound,0.5000,0.5
10,0.0,123,13,1.2201,55.94,41.36,1.0,H,0.0535,above_bound,0.5000,0.5
10,0.0,123,14,1.1340,58.72,56.18,1.0,H,0.0503,above_bound,0.5000,0.5
10,0.0,123,15,1.0589,62.02,56.16,1.0,H,0.0422,above_bound,0.5000,0.5
10,0.0,123,16,1.0055,63.78,56.19,1.0,H,0.0455,above_bound,0.5000,0.5
10,0.0,123,17,0.9265,67.31,49.78,1.0,H,0.0385,above_bound,0.5000,0.5
10,0.0,123,18,0.9041,68.10,69.95,1.0,H,0.0431,above_bound,0.5000,0.5
10,0.0,123,19,0.8373,70.72,68.94,1.0,H,0.0357,above_bound,0.5000,0.5
10,0.0,123,20,0.7839,72.42,68.35,1.0,H,0.0294,above_bound,0.5000,0.5
10,0.0,123,21,0.7471,73.68,69.86,1.0,H,0.0290,above_bound,0.5000,0.5
10,0.0,123,22,0.7305,74.31,71.43,1.0,H,0.0321,above_bound,0.5000,0.5
10,0.0,123,23,0.6923,75.90,75.42,1.0,H,0.0242,above_bound,0.5000,0.5
10,0.0,123,24,0.6672,76.68,76.01,1.0,H,0.0248,above_bound,0.5000,0.5
10,0.0,123,25,0.6499,77.19,70.40,1.0,H,0.0271,above_bound,0.5000,0.5
10,0.0,123,26,0.6288,78.05,67.57,1.0,H,0.0277,above_bound,0.5000,0.5
10,0.0,123,27,0.6138,78.64,75.93,1.0,H,0.0244,above_bound,0.5000,0.5
10,0.0,123,28,0.5886,79.51,75.89,1.0,H,0.0247,above_bound,0.5000,0.5
10,0.0,123,29,0.5713,80.22,73.65,1.0,H,0.0245,above_bound,0.5000,0.5
10,0.0,123,30,0.5574,80.72,74.45,1.0,H,0.0241,above_bound,0.5000,0.5
10,0.0,123,31,0.6184,78.69,73.27,1.0,H,0.0851,above_bound,0.9500,0.5
10,0.0,123,32,0.5919,79.46,79.03,1.0,H,0.0720,above_bound,0.9500,0.5
10,0.0,123,33,0.5512,81.01,78.83,1.0,H,0.0617,above_bound,0.9500,0.5
10,0.0,123,34,0.5383,81.04,75.91,1.0,H,0.0584,above_bound,0.9500,0.5
10,0.0,123,35,0.5122,82.19,80.15,1.0,H,0.0492,above_bound,0.9500,0.5
10,0.0,123,36,0.5065,82.43,79.95,1.0,H,0.0556,above_bound,0.9500,0.5
10,0.0,123,37,0.5091,82.28,81.82,1.0,H,0.0574,above_bound,0.9500,0.5
10,0.0,123,38,0.4752,83.46,79.86,1.0,H,0.0441,above_bound,0.9500,0.5
10,0.0,123,39,0.5065,82.44,74.17,1.0,H,0.0592,above_bound,0.9500,0.5
10,0.0,123,40,0.4812,83.33,82.53,1.0,H,0.0513,above_bound,0.9500,0.5
10,0.0,123,41,0.3774,87.10,85.55,1.0,H,0.0118,above_bound,0.9500,0.5
10,0.0,123,42,0.3509,88.01,85.66,1.0,H,0.0037,above_bound,0.9500,0.5
10,0.0,123,43,0.3433,88.27,85.82,1.0,H,-0.0018,above_bound,0.9500,0.5
10,0.0,123,44,0.3379,88.33,85.77,1.0,H,0.0005,above_bound,0.9500,0.5
10,0.0,123,45,0.3347,88.58,85.91,1.0,H,0.0020,above_bound,0.9500,0.5
10,0.0,123,46,0.3318,88.66,85.99,1.0,H,0.0011,above_bound,0.9500,0.5
10,0.0,123,47,0.3255,88.85,85.86,1.0,H,0.0022,above_bound,0.9500,0.5
10,0.0,123,48,0.3273,88.68,86.01,1.0,H,-0.0015,above_bound,0.9500,0.5
10,0.0,123,49,0.3211,88.88,85.82,1.0,H,0.0021,above_bound,0.9500,0.5
10,0.0,123,50,0.3199,88.85,85.72,1.0,H,0.0028,above_bound,0.9500,0.5
