tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
5,0.0,123,1,2.0140,26.54,34.44,0.2,C,0.0922
5,0.0,123,2,1.7090,35.57,41.25,0.2,C,0.0701
5,0.0,123,3,1.5677,41.73,43.39,0.2,C,0.0728
5,0.0,123,4,1.4683,45.60,47.95,0.2,C,0.0652
5,0.0,123,5,1.3733,49.72,49.59,0.2,C,0.0626
5,0.0,123,6,1.3052,51.99,52.28,0.2,C,0.0613
5,0.0,123,7,1.2504,54.63,53.16,0.2,C,0.0588
5,0.0,123,8,1.1971,56.62,55.63,0.2,C,0.0596
5,0.0,123,9,1.1443,58.79,59.11,0.2,C,0.0547
5,0.0,123,10,1.0939,60.43,62.13,0.2,C,0.0469
5,0.0,123,11,1.0502,62.42,63.71,0.2,C,0.0515
5,0.0,123,12,1.0257,63.05,62.67,0.2,C,0.0470
5,0.0,123,13,0.9847,64.78,62.10,0.2,C,0.0426
5,0.0,123,14,0.9551,66.01,62.16,0.2,C,0.0424
5,0.0,123,15,0.9314,66.83,65.51,0.2,C,0.0493
5,0.0,123,16,0.8985,67.99,65.30,0.2,C,0.0384
5,0.0,123,17,0.8720,68.98,67.70,0.2,C,0.0387
5,0.0,123,18,0.8480,69.76,68.79,0.2,C,0.0359
5,0.0,123,19,0.8199,70.93,68.50,0.2,C,0.0379
5,0.0,123,20,0.8022,71.65,68.21,0.2,C,0.0398
5,0.0,123,21,0.7844,72.32,67.42,0.2,C,0.0388
5,0.0,123,22,0.7595,73.10,69.85,0.2,C,0.0364
5,0.0,123,23,0.7439,73.57,72.68,0.2,C,0.0377
5,0.0,123,24,0.7229,74.51,72.26,0.2,C,0.0345
5,0.0,123,25,0.7100,75.05,71.90,0.2,C,0.0350
5,0.0,123,26,0.6924,75.65,74.26,0.2,C,0.0344
5,0.0,123,27,0.6826,76.07,75.16,0.2,C,0.0303
5,0.0,123,28,0.6657,76.58,75.45,0.2,C,0.0298
5,0.0,123,29,0.6573,76.94,75.54,0.2,C,0.0409
5,0.0,123,30,0.6421,77.58,74.81,0.2,C,0.0315
5,0.0,123,31,0.5951,79.24,78.47,0.2,C,0.0094
5,0.0,123,32,0.5862,79.64,78.76,0.2,C,0.0073
5,0.0,123,33,0.5843,79.68,78.86,0.2,C,0.0067
5,0.0,123,34,0.5786,80.05,78.72,0.2,C,0.0031
5,0.0,123,35,0.5795,79.99,78.78,0.2,C,-0.0002
5,0.0,123,36,0.5751,79.98,78.97,0.2,C,0.0001
5,0.0,123,37,0.5761,79.97,79.01,0.2,C,0.0045
5,0.0,123,38,0.5765,80.10,79.08,0.2,C,0.0055
5,0.0,123,39,0.5732,80.06,79.26,0.2,C,0.0029
5,0.0,123,40,0.5712,80.06,78.98,0.2,C,0.0026
5,0.0,123,41,0.5687,80.24,79.12,0.2,C,0.0053
5,0.0,123,42,0.5697,80.16,79.26,0.2,C,-0.0023
5,0.0,123,43,0.5686,80.38,79.29,0.2,C,0.0037
5,0.0,123,44,0.5689,80.20,79.34,0.2,C,0.0000
5,0.0,123,45,0.5663,80.30,79.27,0.2,C,0.0038
5,0.0,123,46,0.5724,80.22,79.14,0.2,C,-0.0006
5,0.0,123,47,0.5654,80.51,79.22,0.2,C,-0.0028
5,0.0,123,48,0.5696,80.22,79.34,0.2,C,-0.0018
5,0.0,123,49,0.5700,80.15,79.39,0.2,C,-0.0011
5,0.0,123,50,0.5669,80.32,79.14,0.2,C,-0.0042
