tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
20,-0.3,456,1,4.2962,10.33,10.98,1.0,F,0.1210
20,-0.3,456,2,2.3140,11.32,11.11,1.0,F,0.0183
20,-0.3,456,3,2.2984,12.29,11.76,1.0,F,0.0314
20,-0.3,456,4,2.2859,12.81,12.25,1.0,F,0.0213
20,-0.3,456,5,2.2357,17.22,16.90,1.0,F,0.0717
20,-0.3,456,6,2.0824,20.17,19.86,1.0,F,0.0606
20,-0.3,456,7,2.0137,22.18,22.88,1.0,F,0.0219
20,-0.3,456,8,1.9775,23.60,23.76,1.0,F,0.0230
20,-0.3,456,9,1.9571,24.91,23.76,1.0,F,0.0369
20,-0.3,456,10,1.9268,25.46,29.33,1.0,F,0.0322
20,-0.3,456,11,1.9002,27.02,30.11,1.0,F,0.0301
20,-0.3,456,12,1.8172,30.12,30.48,1.0,F,0.0307
20,-0.3,456,13,1.7782,30.97,33.66,1.0,F,0.0258
20,-0.3,456,14,1.7180,34.62,33.91,1.0,F,0.0127
20,-0.3,456,15,1.6900,35.86,39.66,1.0,F,0.0221
20,-0.3,456,16,1.6547,37.32,39.32,1.0,F,0.0163
20,-0.3,456,17,1.6395,38.17,42.27,1.0,F,0.0253
20,-0.3,456,18,1.5940,39.62,39.82,1.0,F,0.0185
20,-0.3,456,19,1.5639,41.85,39.22,1.0,F,0.0231
20,-0.3,456,20,1.5266,43.38,40.66,1.0,F,0.0195
20,-0.3,456,21,1.5174,43.54,41.34,1.0,F,0.0192
20,-0.3,456,22,1.4869,44.47,48.12,1.0,F,0.0183
20,-0.3,456,23,1.4392,46.76,43.50,1.0,F,0.0152
20,-0.3,456,24,1.4177,47.71,45.47,1.0,F,0.0139
20,-0.3,456,25,1.3984,48.69,50.72,1.0,F,0.0136
20,-0.3,456,26,1.3374,50.99,48.31,1.0,F,0.0169
20,-0.3,456,27,1.3090,52.66,51.94,1.0,F,0.0169
20,-0.3,456,28,1.2785,53.55,48.07,1.0,F,0.0106
20,-0.3,456,29,1.2548,54.33,48.35,1.0,F,0.0118
20,-0.3,456,30,1.2029,56.36,54.54,1.0,F,0.0158
20,-0.3,456,31,1.0939,60.76,62.75,1.0,F,0.0463
20,-0.3,456,32,1.0542,62.52,63.08,1.0,F,0.0031
20,-0.3,456,33,1.0429,62.81,63.38,1.0,F,0.0017
20,-0.3,456,34,1.0375,63.08,63.55,1.0,F,0.0041
20,-0.3,456,35,1.0278,63.23,63.93,1.0,F,0.0029
20,-0.3,456,36,1.0259,63.39,64.13,1.0,F,0.0067
20,-0.3,456,37,1.0160,63.80,64.35,1.0,F,0.0038
20,-0.3,456,38,1.0063,64.10,64.34,1.0,F,0.0045
20,-0.3,456,39,1.0020,64.13,64.58,1.0,F,0.0040
20,-0.3,456,40,1.0026,64.14,64.76,1.0,F,0.0017
20,-0.3,456,41,0.9938,64.52,64.90,1.0,F,0.0016
20,-0.3,456,42,0.9904,64.76,64.88,1.0,F,-0.0023
20,-0.3,456,43,0.9916,64.57,65.00,1.0,F,-0.0011
20,-0.3,456,44,0.9947,64.50,64.97,1.0,F,-0.0013
20,-0.3,456,45,0.9925,64.62,65.08,1.0,F,0.0005
20,-0.3,456,46,0.9910,64.69,64.84,1.0,F,0.0013
20,-0.3,456,47,0.9896,64.84,65.09,1.0,F,-0.0002
20,-0.3,456,48,0.9897,64.71,65.00,1.0,F,-0.0006
20,-0.3,456,49,0.9886,64.85,65.14,1.0,F,0.0042
20,-0.3,456,50,0.9841,64.85,65.10,1.0,F,0.0023
