tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied
10,0.0,456,1,3.3200,14.34,15.46,1.0,G,0.0961,above_bound,0.0000
10,0.0,456,2,2.1291,18.62,20.34,1.0,G,0.0704,above_bound,0.3000
10,0.0,456,3,2.0187,22.11,22.52,1.0,G,0.0873,above_bound,0.3000
10,0.0,456,4,1.9352,25.18,27.90,1.0,G,0.0752,above_bound,0.3000
10,0.0,456,5,1.8506,29.29,32.96,1.0,G,0.0720,above_bound,0.3000
10,0.0,456,6,1.7639,32.47,37.27,1.0,G,0.0707,above_bound,0.3000
10,0.0,456,7,1.6685,36.79,33.20,1.0,G,0.0548,above_bound,0.3000
10,0.0,456,8,1.6184,38.43,39.78,1.0,G,0.0589,above_bound,0.3000
10,0.0,456,9,1.5534,41.18,45.23,1.0,G,0.0584,above_bound,0.3000
10,0.0,456,10,1.4985,43.90,44.28,1.0,G,0.0534,above_bound,0.3000
10,0.0,456,11,1.4164,47.17,40.37,1.0,G,0.0518,above_bound,0.3000
10,0.0,456,12,1.3687,49.52,45.83,1.0,G,0.0510,above_bound,0.3000
10,0.0,456,13,1.2972,52.60,50.83,1.0,G,0.0498,above_bound,0.3000
10,0.0,456,14,1.2369,54.77,51.66,1.0,G,0.0461,above_bound,0.3000
10,0.0,456,15,1.1857,56.63,54.76,1.0,G,0.0450,above_bound,0.3000
10,0.0,456,16,1.1264,59.40,57.32,1.0,G,0.0414,above_bound,0.3000
10,0.0,456,17,1.0647,61.80,46.33,1.0,G,0.0339,above_bound,0.3000
10,0.0,456,18,1.0018,63.90,56.93,1.0,G,0.0360,above_bound,0.3000
10,0.0,456,19,0.9383,66.59,62.32,1.0,G,0.0304,above_bound,0.3000
10,0.0,456,20,0.8886,68.49,68.18,1.0,G,0.0288,above_bound,0.3000
10,0.0,456,21,0.8693,69.43,55.91,1.0,G,0.0322,above_bound,0.3000
10,0.0,456,22,0.8366,70.37,69.69,1.0,G,0.0347,above_bound,0.3000
10,0.0,456,23,0.7633,73.24,66.95,1.0,G,0.0240,above_bound,0.3000
10,0.0,456,24,0.7530,73.58,69.69,1.0,G,0.0272,above_bound,0.3000
10,0.0,456,25,0.7159,75.01,70.87,1.0,G,0.0242,above_bound,0.3000
10,0.0,456,26,0.7010,75.67,71.86,1.0,G,0.0267,above_bound,0.3000
10,0.0,456,27,0.6856,76.18,73.32,1.0,G,0.0240,above_bound,0.3000
10,0.0,456,28,0.6517,77.23,67.55,1.0,G,0.0242,above_bound,0.3000
10,0.0,456,29,0.6340,78.08,73.42,1.0,G,0.0236,above_bound,0.3000
10,0.0,456,30,0.6247,78.41,74.84,1.0,G,0.0246,above_bound,0.3000
10,0.0,456,31,1.0591,63.99,66.03,1.0,G,0.1860,above_bound,0.9500
10,0.0,456,32,0.7608,73.71,73.59,1.0,G,0.1065,above_bound,0.9500
10,0.0,456,33,0.7065,75.58,72.11,1.0,G,0.0974,above_bound,0.9500
10,0.0,456,34,0.6651,77.22,77.27,1.0,G,0.0827,above_bound,0.9500
10,0.0,456,35,0.6191,78.67,75.11,1.0,G,0.0739,above_bound,0.9500
10,0.0,456,36,0.6245,78.44,76.52,1.0,G,0.0788,above_bound,0.9500
10,0.0,456,37,0.6035,79.16,76.85,1.0,G,0.0708,above_bound,0.9500
10,0.0,456,38,0.5669,80.43,76.32,1.0,G,0.0629,above_bound,0.9500
10,0.0,456,39,0.5547,80.77,75.55,1.0,G,0.0617,above_bound,0.9500
10,0.0,456,40,0.5550,80.74,74.59,1.0,G,0.0648,above_bound,0.9500
10,0.0,456,41,0.4543,84.26,84.20,1.0,G,0.0212,above_bound,0.9500
10,0.0,456,42,0.4120,85.93,84.43,1.0,G,0.0026,above_bound,0.9500
10,0.0,456,43,0.4060,86.15,84.56,1.0,G,0.0024,above_bound,0.9500
10,0.0,456,44,0.3955,86.35,84.60,1.0,G,0.0020,above_bound,0.9500
10,0.0,456,45,0.3923,86.71,84.78,1.0,G,0.0013,above_bound,0.9500
10,0.0,456,46,0.3892,86.61,84.81,1.0,G,-0.0022,above_bound,0.9500
10,0.0,456,47,0.3829,86.98,84.86,1.0,G,0.0019,above_bound,0.9500
10,0.0,456,48,0.3836,86.65,84.85,1.0,G,0.0039,above_bound,0.9500
10,0.0,456,49,0.3795,87.01,84.79,1.0,G,0.0027,above_bound,0.9500
10,0.0,456,50,0.3732,87.05,84.81,1.0,G,0.0004,above_bound,0.9500
