tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied
10,0.0,123,1,3.2254,11.40,11.49,1.0,G,0.0591,neg_ramp,0.0000
10,0.0,123,2,2.2869,13.14,13.19,1.0,G,0.0567,neg_ramp,-0.9000
10,0.0,123,3,2.2706,14.46,15.18,1.0,G,0.0616,neg_ramp,-0.9000
10,0.0,123,4,2.2028,18.18,20.94,1.0,G,0.0854,neg_ramp,-0.9000
10,0.0,123,5,2.0147,22.82,21.98,1.0,G,0.1586,neg_ramp,-0.9000
10,0.0,123,6,1.9359,26.48,30.18,1.0,G,0.2030,neg_ramp,-0.9000
10,0.0,123,7,1.8652,29.57,30.09,1.0,G,0.1746,neg_ramp,-0.9000
10,0.0,123,8,1.8022,31.27,32.07,1.0,G,0.2742,neg_ramp,-0.9000
10,0.0,123,9,1.7149,35.02,36.73,1.0,G,0.2320,neg_ramp,-0.9000
10,0.0,123,10,1.6562,37.73,34.40,1.0,G,0.2100,neg_ramp,-0.9000
10,0.0,123,11,1.5922,40.43,37.61,1.0,G,0.1895,neg_ramp,-0.9000
10,0.0,123,12,1.5674,41.77,44.80,1.0,G,0.2099,neg_ramp,-0.9000
10,0.0,123,13,1.4901,44.84,44.20,1.0,G,0.1824,neg_ramp,-0.9000
10,0.0,123,14,1.4416,46.40,48.61,1.0,G,0.1733,neg_ramp,-0.9000
10,0.0,123,15,1.3882,48.87,39.22,1.0,G,0.1598,neg_ramp,-0.9000
10,0.0,123,16,1.3471,50.61,48.10,1.0,G,0.1768,neg_ramp,-0.9000
10,0.0,123,17,1.2876,52.95,51.11,1.0,G,0.1494,neg_ramp,-0.9000
10,0.0,123,18,1.2359,54.63,51.18,1.0,G,0.1492,neg_ramp,-0.9000
10,0.0,123,19,1.1849,56.56,58.45,1.0,G,0.1135,neg_ramp,-0.9000
10,0.0,123,20,1.1570,57.93,51.85,1.0,G,0.1332,neg_ramp,-0.9000
10,0.0,123,21,1.1081,60.03,60.56,1.0,G,0.1044,neg_ramp,-0.9000
10,0.0,123,22,1.0737,61.21,59.42,1.0,G,0.1024,neg_ramp,-0.9000
10,0.0,123,23,1.0402,62.51,58.08,1.0,G,0.0878,neg_ramp,-0.9000
10,0.0,123,24,1.0046,63.89,61.02,1.0,G,0.0916,neg_ramp,-0.9000
10,0.0,123,25,0.9879,64.53,60.57,1.0,G,0.1067,neg_ramp,-0.9000
10,0.0,123,26,0.9426,66.11,66.26,1.0,G,0.0940,neg_ramp,-0.9000
10,0.0,123,27,0.9102,67.42,60.38,1.0,G,0.0762,neg_ramp,-0.9000
10,0.0,123,28,0.8722,68.91,61.16,1.0,G,0.0772,neg_ramp,-0.9000
10,0.0,123,29,0.8524,69.72,70.83,1.0,G,0.0834,neg_ramp,-0.9000
10,0.0,123,30,0.8097,71.38,61.66,1.0,G,0.0566,neg_ramp,-0.9000
10,0.0,123,31,0.7278,74.46,75.10,1.0,G,0.0174,neg_ramp,0.6838
10,0.0,123,32,0.7065,75.18,74.81,1.0,G,0.0129,neg_ramp,0.6838
10,0.0,123,33,0.6919,75.74,75.41,1.0,G,0.0147,neg_ramp,0.6838
10,0.0,123,34,0.6786,76.03,76.19,1.0,G,0.0186,neg_ramp,0.6838
10,0.0,123,35,0.6716,76.57,76.48,1.0,G,0.0159,neg_ramp,0.6838
10,0.0,123,36,0.6555,76.85,75.70,1.0,G,0.0207,neg_ramp,0.6838
10,0.0,123,37,0.6481,77.21,76.27,1.0,G,0.0199,neg_ramp,0.6838
10,0.0,123,38,0.6349,77.71,77.55,1.0,G,0.0194,neg_ramp,0.6838
10,0.0,123,39,0.6273,78.12,77.30,1.0,G,0.0189,neg_ramp,0.6838
10,0.0,123,40,0.6187,78.19,78.02,1.0,G,0.0221,neg_ramp,0.6838
10,0.0,123,41,0.5773,79.84,79.63,1.0,G,0.0048,neg_ramp,0.9000
10,0.0,123,42,0.5747,79.82,79.28,1.0,G,0.0058,neg_ramp,0.9000
10,0.0,123,43,0.5680,80.16,79.78,1.0,G,0.0001,neg_ramp,0.9000
10,0.0,123,44,0.5669,80.16,79.67,1.0,G,0.0095,neg_ramp,0.9000
10,0.0,123,45,0.5588,80.48,79.89,1.0,G,0.0028,neg_ramp,0.9000
10,0.0,123,46,0.5571,80.53,79.75,1.0,G,0.0080,neg_ramp,0.9000
10,0.0,123,47,0.5512,80.84,80.05,1.0,G,0.0070,neg_ramp,0.9000
10,0.0,123,48,0.5493,80.77,80.62,1.0,G,0.0087,neg_ramp,0.9000
10,0.0,123,49,0.5489,80.85,80.05,1.0,G,0.0047,neg_ramp,0.9000
10,0.0,123,50,0.5421,81.13,80.10,1.0,G,0.0087,neg_ramp,0.9000
