tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset
20,0.0,123,1,4.4994,10.15,10.65,1.0,H,0.1340,above_bound,0.0000,0.1
20,0.0,123,2,2.3024,11.13,11.61,1.0,H,0.0481,above_bound,-0.3142,0.1
20,0.0,123,3,2.2951,13.12,13.08,1.0,H,0.0240,above_bound,-0.3142,0.1
20,0.0,123,4,2.2853,13.73,13.53,1.0,H,0.0524,above_bound,-0.3142,0.1
20,0.0,123,5,2.2729,13.92,13.66,1.0,H,0.0159,above_bound,-0.3142,0.1
20,0.0,123,6,2.2531,14.70,15.33,1.0,H,0.0646,above_bound,-0.3142,0.1
20,0.0,123,7,2.1863,16.68,17.84,1.0,H,0.0823,above_bound,-0.3142,0.1
20,0.0,123,8,2.1250,17.13,15.94,1.0,H,0.0511,above_bound,-0.3142,0.1
20,0.0,123,9,2.1082,17.86,18.10,1.0,H,0.0581,above_bound,-0.3142,0.1
20,0.0,123,10,2.0831,18.69,18.32,1.0,H,0.0524,above_bound,-0.3142,0.1
20,0.0,123,11,2.0456,19.93,19.42,1.0,H,0.0410,above_bound,-0.3142,0.1
20,0.0,123,12,2.0237,20.23,19.24,1.0,H,0.0271,above_bound,-0.3142,0.1
20,0.0,123,13,1.9911,21.42,22.17,1.0,H,0.0348,above_bound,-0.3142,0.1
20,0.0,123,14,1.9800,21.53,22.19,1.0,H,0.0224,above_bound,-0.3142,0.1
20,0.0,123,15,1.9584,23.11,18.33,1.0,H,0.0389,above_bound,-0.3142,0.1
20,0.0,123,16,1.9336,24.01,23.71,1.0,H,0.0284,above_bound,-0.3142,0.1
20,0.0,123,17,1.9594,23.49,22.70,1.0,H,0.0320,above_bound,-0.3142,0.1
20,0.0,123,18,1.9100,24.74,24.55,1.0,H,0.0208,above_bound,-0.3142,0.1
20,0.0,123,19,1.8686,27.15,28.92,1.0,H,0.0182,above_bound,-0.3142,0.1
20,0.0,123,20,2.1729,20.35,23.42,1.0,H,0.0757,above_bound,-0.3142,0.1
20,0.0,123,21,1.9224,24.63,27.38,1.0,H,0.0401,above_bound,-0.3142,0.1
20,0.0,123,22,1.8475,27.61,29.20,1.0,H,0.0238,above_bound,-0.3142,0.1
20,0.0,123,23,1.7917,29.99,27.68,1.0,H,0.0186,above_bound,-0.3142,0.1
20,0.0,123,24,1.7981,29.75,24.08,1.0,H,0.0234,above_bound,-0.3142,0.1
20,0.0,123,25,1.7889,30.47,31.94,1.0,H,0.0137,above_bound,-0.3142,0.1
20,0.0,123,26,1.7498,31.30,29.64,1.0,H,0.0194,above_bound,-0.3142,0.1
20,0.0,123,27,1.7138,33.19,30.98,1.0,H,0.0230,above_bound,-0.3142,0.1
20,0.0,123,28,1.6897,34.17,34.96,1.0,H,0.0285,above_bound,-0.3142,0.1
20,0.0,123,29,1.6606,34.97,33.32,1.0,H,0.0128,above_bound,-0.3142,0.1
20,0.0,123,30,1.6335,36.87,32.90,1.0,H,0.0234,above_bound,-0.3142,0.1
20,0.0,123,31,1.5394,41.48,42.76,1.0,H,0.0389,above_bound,0.6528,0.1
20,0.0,123,32,1.5120,42.87,42.82,1.0,H,0.0233,above_bound,0.6528,0.1
20,0.0,123,33,1.4980,43.45,44.37,1.0,H,0.0163,above_bound,0.6528,0.1
20,0.0,123,34,1.4915,43.45,42.35,1.0,H,0.0366,above_bound,0.6528,0.1
20,0.0,123,35,1.4835,43.59,41.77,1.0,H,0.0310,above_bound,0.6528,0.1
20,0.0,123,36,1.4723,44.42,40.77,1.0,H,0.0468,above_bound,0.6528,0.1
20,0.0,123,37,1.4534,45.15,46.42,1.0,H,0.0409,above_bound,0.6528,0.1
20,0.0,123,38,1.4349,46.41,42.98,1.0,H,0.0406,above_bound,0.6528,0.1
20,0.0,123,39,1.4294,46.22,38.19,1.0,H,0.0539,above_bound,0.6528,0.1
20,0.0,123,40,1.4134,47.08,44.20,1.0,H,0.0483,above_bound,0.6528,0.1
20,0.0,123,41,1.3676,48.87,50.54,1.0,H,0.0956,above_bound,0.9500,0.1
20,0.0,123,42,1.3592,49.68,48.97,1.0,H,0.0909,above_bound,0.9500,0.1
20,0.0,123,43,1.3613,49.42,51.15,1.0,H,0.1261,above_bound,0.9500,0.1
20,0.0,123,44,1.3396,50.17,50.55,1.0,H,0.1005,above_bound,0.9500,0.1
20,0.0,123,45,1.3382,50.15,50.97,1.0,H,0.1115,above_bound,0.9500,0.1
20,0.0,123,46,1.3331,50.20,47.42,1.0,H,0.1237,above_bound,0.9500,0.1
20,0.0,123,47,1.3481,50.20,49.66,1.0,H,0.1598,above_bound,0.9500,0.1
20,0.0,123,48,1.3153,51.59,52.40,1.0,H,0.1096,above_bound,0.9500,0.1
20,0.0,123,49,1.3048,51.69,50.19,1.0,H,0.1215,above_bound,0.9500,0.1
20,0.0,123,50,1.3038,51.81,53.05,1.0,H,0.1323,above_bound,0.9500,0.1
