tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
5,-0.3,456,1,2.3951,22.33,27.04,1.0,F,0.0879
5,-0.3,456,2,1.7854,32.52,35.77,1.0,F,0.0782
5,-0.3,456,3,1.6391,38.31,39.14,1.0,F,0.0663
5,-0.3,456,4,1.5451,41.90,39.99,1.0,F,0.0605
5,-0.3,456,5,1.4472,46.43,46.57,1.0,F,0.0534
5,-0.3,456,6,1.3539,49.87,45.39,1.0,F,0.0570
5,-0.3,456,7,1.2499,53.85,52.07,1.0,F,0.0526
5,-0.3,456,8,1.1670,57.55,46.91,1.0,F,0.0520
5,-0.3,456,9,1.1019,60.04,62.76,1.0,F,0.0470
5,-0.3,456,10,1.0193,63.10,58.98,1.0,F,0.0471
5,-0.3,456,11,0.9624,65.35,64.78,1.0,F,0.0413
5,-0.3,456,12,0.9092,67.64,66.88,1.0,F,0.0405
5,-0.3,456,13,0.8646,69.11,71.30,1.0,F,0.0364
5,-0.3,456,14,0.8076,71.29,71.60,1.0,F,0.0330
5,-0.3,456,15,0.7837,72.41,69.20,1.0,F,0.0341
5,-0.3,456,16,0.7341,73.95,72.70,1.0,F,0.0298
5,-0.3,456,17,0.7055,75.22,72.00,1.0,F,0.0325
5,-0.3,456,18,0.6766,76.43,75.55,1.0,F,0.0306
5,-0.3,456,19,0.6582,77.01,72.82,1.0,F,0.0336
5,-0.3,456,20,0.6332,77.86,74.87,1.0,F,0.0290
5,-0.3,456,21,0.6050,78.74,77.38,1.0,F,0.0312
5,-0.3,456,22,0.5900,79.32,77.04,1.0,F,0.0314
5,-0.3,456,23,0.5713,80.11,75.14,1.0,F,0.0266
5,-0.3,456,24,0.5596,80.40,72.68,1.0,F,0.0287
5,-0.3,456,25,0.5420,81.11,77.47,1.0,F,0.0296
5,-0.3,456,26,0.5280,81.59,78.42,1.0,F,0.0258
5,-0.3,456,27,0.5069,82.38,73.73,1.0,F,0.0238
5,-0.3,456,28,0.4977,82.57,71.57,1.0,F,0.0239
5,-0.3,456,29,0.4872,83.02,79.42,1.0,F,0.0248
5,-0.3,456,30,0.4808,83.22,80.86,1.0,F,0.0272
5,-0.3,456,31,0.4073,85.86,83.92,1.0,F,0.0078
5,-0.3,456,32,0.3935,86.36,84.11,1.0,F,0.0019
5,-0.3,456,33,0.3900,86.53,84.35,1.0,F,0.0033
5,-0.3,456,34,0.3874,86.59,84.31,1.0,F,0.0047
5,-0.3,456,35,0.3846,86.64,84.55,1.0,F,0.0015
5,-0.3,456,36,0.3798,86.84,84.72,1.0,F,0.0033
5,-0.3,456,37,0.3782,86.95,84.54,1.0,F,0.0023
5,-0.3,456,38,0.3788,86.91,84.59,1.0,F,0.0016
5,-0.3,456,39,0.3747,86.95,84.69,1.0,F,-0.0000
5,-0.3,456,40,0.3716,87.07,84.61,1.0,F,0.0019
5,-0.3,456,41,0.3657,87.34,84.80,1.0,F,0.0001
5,-0.3,456,42,0.3658,87.23,84.78,1.0,F,-0.0001
5,-0.3,456,43,0.3631,87.59,84.71,1.0,F,0.0039
5,-0.3,456,44,0.3661,87.36,84.72,1.0,F,0.0022
5,-0.3,456,45,0.3618,87.53,84.78,1.0,F,-0.0024
5,-0.3,456,46,0.3655,87.33,84.89,1.0,F,0.0010
5,-0.3,456,47,0.3648,87.30,84.76,1.0,F,0.0004
5,-0.3,456,48,0.3631,87.50,84.94,1.0,F,0.0005
5,-0.3,456,49,0.3643,87.48,84.71,1.0,F,-0.0014
5,-0.3,456,50,0.3616,87.46,84.83,1.0,F,-0.0016
