tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied
5,0.0,123,1,2.3722,22.53,28.58,1.0,G,0.1022,neg_ramp,0.0000
5,0.0,123,2,1.6914,36.14,37.37,1.0,G,0.0454,neg_ramp,-0.8000
5,0.0,123,3,1.5842,40.63,35.69,1.0,G,0.0477,neg_ramp,-0.8000
5,0.0,123,4,1.4729,45.20,48.20,1.0,G,0.0470,neg_ramp,-0.8000
5,0.0,123,5,1.3815,49.18,48.31,1.0,G,0.0489,neg_ramp,-0.8000
5,0.0,123,6,1.2848,53.24,55.25,1.0,G,0.0462,neg_ramp,-0.8000
5,0.0,123,7,1.2071,56.25,57.90,1.0,G,0.0388,neg_ramp,-0.8000
5,0.0,123,8,1.1449,58.36,61.15,1.0,G,0.0437,neg_ramp,-0.8000
5,0.0,123,9,1.0687,61.64,60.99,1.0,G,0.0394,neg_ramp,-0.8000
5,0.0,123,10,1.0265,63.16,63.84,1.0,G,0.0351,neg_ramp,-0.8000
5,0.0,123,11,0.9683,65.53,63.57,1.0,G,0.0350,neg_ramp,-0.8000
5,0.0,123,12,0.9328,66.69,65.54,1.0,G,0.0347,neg_ramp,-0.8000
5,0.0,123,13,0.8791,68.65,67.11,1.0,G,0.0297,neg_ramp,-0.8000
5,0.0,123,14,0.8441,69.83,65.82,1.0,G,0.0328,neg_ramp,-0.8000
5,0.0,123,15,0.8110,71.13,66.79,1.0,G,0.0362,neg_ramp,-0.8000
5,0.0,123,16,0.7775,72.59,71.89,1.0,G,0.0322,neg_ramp,-0.8000
5,0.0,123,17,0.7482,73.45,72.48,1.0,G,0.0294,neg_ramp,-0.8000
5,0.0,123,18,0.7189,74.66,66.75,1.0,G,0.0281,neg_ramp,-0.8000
5,0.0,123,19,0.6945,75.52,72.95,1.0,G,0.0298,neg_ramp,-0.8000
5,0.0,123,20,0.6736,76.42,69.71,1.0,G,0.0265,neg_ramp,-0.8000
5,0.0,123,21,0.6548,77.09,75.29,1.0,G,0.0257,neg_ramp,-0.8000
5,0.0,123,22,0.6308,77.88,74.66,1.0,G,0.0248,neg_ramp,-0.8000
5,0.0,123,23,0.6161,78.64,74.79,1.0,G,0.0283,neg_ramp,-0.8000
5,0.0,123,24,0.5991,79.26,77.70,1.0,G,0.0262,neg_ramp,-0.8000
5,0.0,123,25,0.5891,79.45,76.10,1.0,G,0.0275,neg_ramp,-0.8000
5,0.0,123,26,0.5642,80.33,76.94,1.0,G,0.0214,neg_ramp,-0.8000
5,0.0,123,27,0.5561,80.60,79.23,1.0,G,0.0250,neg_ramp,-0.8000
5,0.0,123,28,0.5442,80.96,78.37,1.0,G,0.0220,neg_ramp,-0.8000
5,0.0,123,29,0.5335,81.53,78.03,1.0,G,0.0254,neg_ramp,-0.8000
5,0.0,123,30,0.5226,81.93,78.60,1.0,G,0.0241,neg_ramp,-0.8000
5,0.0,123,31,0.4863,83.07,80.30,1.0,G,0.0408,neg_ramp,0.7764
5,0.0,123,32,0.4690,83.82,79.54,1.0,G,0.0348,neg_ramp,0.7764
5,0.0,123,33,0.4665,83.68,80.81,1.0,G,0.0361,neg_ramp,0.7764
5,0.0,123,34,0.4565,84.16,81.53,1.0,G,0.0344,neg_ramp,0.7764
5,0.0,123,35,0.4536,84.23,79.49,1.0,G,0.0350,neg_ramp,0.7764
5,0.0,123,36,0.4455,84.62,82.23,1.0,G,0.0385,neg_ramp,0.7764
5,0.0,123,37,0.4414,84.60,82.03,1.0,G,0.0399,neg_ramp,0.7764
5,0.0,123,38,0.4344,84.94,80.23,1.0,G,0.0336,neg_ramp,0.7764
5,0.0,123,39,0.4294,84.96,79.40,1.0,G,0.0393,neg_ramp,0.7764
5,0.0,123,40,0.4230,85.35,82.14,1.0,G,0.0357,neg_ramp,0.7764
5,0.0,123,41,0.3727,87.06,84.27,1.0,G,0.0103,neg_ramp,0.9293
5,0.0,123,42,0.3639,87.45,84.34,1.0,G,0.0047,neg_ramp,0.9293
5,0.0,123,43,0.3617,87.51,84.37,1.0,G,0.0130,neg_ramp,0.9293
5,0.0,123,44,0.3583,87.57,84.67,1.0,G,0.0059,neg_ramp,0.9293
5,0.0,123,45,0.3507,87.93,84.73,1.0,G,0.0095,neg_ramp,0.9293
5,0.0,123,46,0.3490,88.01,84.18,1.0,G,0.0051,neg_ramp,0.9293
5,0.0,123,47,0.3456,88.13,84.59,1.0,G,0.0081,neg_ramp,0.9293
5,0.0,123,48,0.3495,87.97,84.61,1.0,G,0.0114,neg_ramp,0.9293
5,0.0,123,49,0.3409,88.05,84.72,1.0,G,0.0070,neg_ramp,0.9293
5,0.0,123,50,0.3409,88.29,84.83,1.0,G,0.0062,neg_ramp,0.9293
