tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied
20,0.0,123,1,4.4994,10.15,10.65,1.0,G,0.1340,at_bound,0.0000
20,0.0,123,2,2.3027,11.00,11.55,1.0,G,0.0489,at_bound,-0.4142
20,0.0,123,3,2.2959,13.06,13.00,1.0,G,0.0229,at_bound,-0.4142
20,0.0,123,4,2.2871,13.67,13.47,1.0,G,0.0492,at_bound,-0.4142
20,0.0,123,5,2.2764,13.89,13.78,1.0,G,0.0091,at_bound,-0.4142
20,0.0,123,6,2.2613,14.19,14.52,1.0,G,0.0606,at_bound,-0.4142
20,0.0,123,7,2.2168,16.20,16.18,1.0,G,0.0426,at_bound,-0.4142
20,0.0,123,8,2.1315,17.07,14.52,1.0,G,0.0464,at_bound,-0.4142
20,0.0,123,9,2.1052,17.78,18.40,1.0,G,0.0637,at_bound,-0.4142
20,0.0,123,10,2.0611,18.97,15.88,1.0,G,0.0249,at_bound,-0.4142
20,0.0,123,11,2.0486,19.08,19.43,1.0,G,0.0285,at_bound,-0.4142
20,0.0,123,12,2.0033,20.23,20.34,1.0,G,0.0308,at_bound,-0.4142
20,0.0,123,13,1.9924,20.78,17.99,1.0,G,0.0182,at_bound,-0.4142
20,0.0,123,14,1.9770,21.46,18.03,1.0,G,0.0215,at_bound,-0.4142
20,0.0,123,15,1.9562,22.35,20.15,1.0,G,0.0161,at_bound,-0.4142
20,0.0,123,16,2.0354,21.47,23.83,1.0,G,0.0393,at_bound,-0.4142
20,0.0,123,17,1.9405,23.39,24.35,1.0,G,0.0318,at_bound,-0.4142
20,0.0,123,18,1.9260,24.13,21.35,1.0,G,0.0135,at_bound,-0.4142
20,0.0,123,19,1.9120,25.58,20.93,1.0,G,0.0167,at_bound,-0.4142
20,0.0,123,20,1.9334,25.66,29.16,1.0,G,0.0326,at_bound,-0.4142
20,0.0,123,21,1.8579,27.54,32.23,1.0,G,0.0186,at_bound,-0.4142
20,0.0,123,22,1.8306,28.55,29.85,1.0,G,0.0194,at_bound,-0.4142
20,0.0,123,23,1.8654,28.73,18.83,1.0,G,0.0160,at_bound,-0.4142
20,0.0,123,24,1.8072,30.92,35.74,1.0,G,0.0319,at_bound,-0.4142
20,0.0,123,25,1.7797,31.44,31.33,1.0,G,0.0150,at_bound,-0.4142
20,0.0,123,26,1.7224,33.69,34.75,1.0,G,0.0312,at_bound,-0.4142
20,0.0,123,27,1.7581,33.19,34.89,1.0,G,0.0198,at_bound,-0.4142
20,0.0,123,28,1.7157,34.01,34.33,1.0,G,0.0303,at_bound,-0.4142
20,0.0,123,29,1.6515,36.87,32.55,1.0,G,0.0212,at_bound,-0.4142
20,0.0,123,30,1.6662,37.05,34.67,1.0,G,0.0098,at_bound,-0.4142
20,0.0,123,31,1.5401,42.01,44.05,1.0,G,0.0408,at_bound,0.5528
20,0.0,123,32,1.5106,43.35,43.94,1.0,G,0.0129,at_bound,0.5528
20,0.0,123,33,1.4937,44.12,43.14,1.0,G,0.0097,at_bound,0.5528
20,0.0,123,34,1.4820,44.67,43.84,1.0,G,0.0166,at_bound,0.5528
20,0.0,123,35,1.4667,45.18,43.49,1.0,G,0.0173,at_bound,0.5528
20,0.0,123,36,1.4564,45.28,44.49,1.0,G,0.0242,at_bound,0.5528
20,0.0,123,37,1.4457,46.08,45.02,1.0,G,0.0213,at_bound,0.5528
20,0.0,123,38,1.4375,46.36,45.13,1.0,G,0.0259,at_bound,0.5528
20,0.0,123,39,1.4362,46.34,42.68,1.0,G,0.0413,at_bound,0.5528
20,0.0,123,40,1.4191,46.97,44.74,1.0,G,0.0388,at_bound,0.5528
20,0.0,123,41,1.3684,49.51,50.25,1.0,G,0.0268,at_bound,0.8586
20,0.0,123,42,1.3592,49.93,51.30,1.0,G,0.0134,at_bound,0.8586
20,0.0,123,43,1.3466,50.46,51.33,1.0,G,0.0132,at_bound,0.8586
20,0.0,123,44,1.3430,50.55,51.03,1.0,G,0.0040,at_bound,0.8586
20,0.0,123,45,1.3371,51.03,51.22,1.0,G,0.0024,at_bound,0.8586
20,0.0,123,46,1.3305,50.96,51.92,1.0,G,0.0169,at_bound,0.8586
20,0.0,123,47,1.3217,51.21,52.81,1.0,G,0.0048,at_bound,0.8586
20,0.0,123,48,1.3183,51.52,52.58,1.0,G,0.0043,at_bound,0.8586
20,0.0,123,49,1.3106,51.74,53.16,1.0,G,0.0148,at_bound,0.8586
20,0.0,123,50,1.3072,51.94,53.49,1.0,G,0.0257,at_bound,0.8586
