tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset
5,0.0,456,1,2.5256,19.03,26.18,1.0,H,0.1006,above_bound,0.0000,0.7
5,0.0,456,2,2.5245,11.17,15.38,1.0,H,0.4655,above_bound,0.9500,0.7
5,0.0,456,3,2.4111,11.31,10.00,1.0,H,0.5267,above_bound,0.9500,0.7
5,0.0,456,4,2.3970,10.47,10.00,1.0,H,0.6125,above_bound,0.9500,0.7
5,0.0,456,5,2.4028,9.92,10.01,1.0,H,0.6443,above_bound,0.9500,0.7
5,0.0,456,6,2.3650,10.44,10.00,1.0,H,0.5378,above_bound,0.9500,0.7
5,0.0,456,7,2.3723,11.48,13.78,1.0,H,0.5072,above_bound,0.9500,0.7
5,0.0,456,8,2.4257,11.37,10.00,1.0,H,0.6043,above_bound,0.9500,0.7
5,0.0,456,9,2.4280,12.94,14.17,1.0,H,0.5707,above_bound,0.9500,0.7
5,0.0,456,10,2.4067,12.60,10.02,1.0,H,0.5797,above_bound,0.9500,0.7
5,0.0,456,11,2.4505,13.24,15.98,1.0,H,0.6332,above_bound,0.9500,0.7
5,0.0,456,12,2.5549,12.98,10.00,1.0,H,0.6315,above_bound,0.9500,0.7
5,0.0,456,13,2.4677,11.15,10.65,1.0,H,0.6115,above_bound,0.9500,0.7
5,0.0,456,14,2.4849,10.39,10.00,1.0,H,0.6609,above_bound,0.9500,0.7
5,0.0,456,15,2.3788,10.14,10.00,1.0,H,0.5847,above_bound,0.9500,0.7
5,0.0,456,16,2.3908,11.03,10.02,1.0,H,0.5545,above_bound,0.9500,0.7
5,0.0,456,17,2.3877,11.54,9.97,1.0,H,0.5297,above_bound,0.9500,0.7
5,0.0,456,18,2.4167,11.68,16.64,1.0,H,0.5576,above_bound,0.9500,0.7
5,0.0,456,19,2.4682,10.53,10.00,1.0,H,0.6816,above_bound,0.9500,0.7
5,0.0,456,20,2.4212,10.06,10.00,1.0,H,0.6783,above_bound,0.9500,0.7
5,0.0,456,21,2.3826,10.18,10.00,1.0,H,0.6095,above_bound,0.9500,0.7
5,0.0,456,22,2.3687,9.95,10.14,1.0,H,0.5369,above_bound,0.9500,0.7
5,0.0,456,23,2.3820,9.92,10.00,1.0,H,0.6017,above_bound,0.9500,0.7
5,0.0,456,24,2.4154,9.90,10.00,1.0,H,0.6655,above_bound,0.9500,0.7
5,0.0,456,25,2.4058,9.99,10.00,1.0,H,0.6293,above_bound,0.9500,0.7
5,0.0,456,26,2.3543,10.00,10.00,1.0,H,0.5099,above_bound,0.9500,0.7
5,0.0,456,27,2.3624,10.00,10.00,1.0,H,0.5223,above_bound,0.9500,0.7
5,0.0,456,28,2.3702,10.03,10.00,1.0,H,0.5574,above_bound,0.9500,0.7
5,0.0,456,29,2.3761,9.91,10.00,1.0,H,0.5545,above_bound,0.9500,0.7
5,0.0,456,30,2.3794,11.82,18.34,1.0,H,0.4519,above_bound,0.9500,0.7
5,0.0,456,31,2.1040,19.06,20.03,1.0,H,0.2025,above_bound,0.9500,0.7
5,0.0,456,32,2.0323,20.52,23.76,1.0,H,0.1661,above_bound,0.9500,0.7
5,0.0,456,33,1.9562,24.10,25.28,1.0,H,0.2761,above_bound,0.9500,0.7
5,0.0,456,34,1.9055,26.37,26.91,1.0,H,0.3111,above_bound,0.9500,0.7
5,0.0,456,35,1.8738,27.03,30.23,1.0,H,0.3614,above_bound,0.9500,0.7
5,0.0,456,36,1.8380,28.57,31.91,1.0,H,0.3466,above_bound,0.9500,0.7
5,0.0,456,37,1.7697,31.53,34.72,1.0,H,0.2820,above_bound,0.9500,0.7
5,0.0,456,38,1.7475,32.50,34.56,1.0,H,0.3260,above_bound,0.9500,0.7
5,0.0,456,39,1.7040,34.31,34.85,1.0,H,0.3256,above_bound,0.9500,0.7
5,0.0,456,40,1.6699,36.62,40.54,1.0,H,0.3418,above_bound,0.9500,0.7
5,0.0,456,41,1.5299,42.79,45.25,1.0,H,0.0576,above_bound,0.9500,0.7
5,0.0,456,42,1.5042,43.91,45.70,1.0,H,0.0109,above_bound,0.9500,0.7
5,0.0,456,43,1.4867,44.46,46.12,1.0,H,0.0097,above_bound,0.9500,0.7
5,0.0,456,44,1.4763,45.13,46.59,1.0,H,0.0145,above_bound,0.9500,0.7
5,0.0,456,45,1.4603,45.53,47.62,1.0,H,0.0141,above_bound,0.9500,0.7
5,0.0,456,46,1.4522,46.13,47.57,1.0,H,0.0292,above_bound,0.9500,0.7
5,0.0,456,47,1.4401,46.46,48.01,1.0,H,0.0139,above_bound,0.9500,0.7
5,0.0,456,48,1.4294,47.22,48.82,1.0,H,0.0262,above_bound,0.9500,0.7
5,0.0,456,49,1.4114,47.70,48.46,1.0,H,0.0359,above_bound,0.9500,0.7
5,0.0,456,50,1.3995,48.37,49.32,1.0,H,0.0573,above_bound,0.9500,0.7
