tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
0,0.1,456,1,1.6388,39.24,40.08,1.0,E,
0,0.1,456,2,1.2437,54.80,50.41,1.0,E,
0,0.1,456,3,1.0515,62.31,45.66,1.0,E,
0,0.1,456,4,0.9191,67.33,61.04,1.0,E,
0,0.1,456,5,0.8275,70.69,50.29,1.0,E,
0,0.1,456,6,0.7607,73.25,71.36,1.0,E,
0,0.1,456,7,0.7116,75.20,67.14,1.0,E,
0,0.1,456,8,0.6736,76.34,70.33,1.0,E,
0,0.1,456,9,0.6325,77.92,68.69,1.0,E,
0,0.1,456,10,0.6044,78.84,68.30,1.0,E,
0,0.1,456,11,0.5805,79.69,61.55,1.0,E,
0,0.1,456,12,0.5577,80.48,71.38,1.0,E,
0,0.1,456,13,0.5323,81.44,71.52,1.0,E,
0,0.1,456,14,0.5160,82.17,75.79,1.0,E,
0,0.1,456,15,0.5030,82.60,75.11,1.0,E,
0,0.1,456,16,0.4854,83.13,79.83,1.0,E,
0,0.1,456,17,0.4685,83.68,68.61,1.0,E,
0,0.1,456,18,0.4571,84.09,78.45,1.0,E,
0,0.1,456,19,0.4430,84.60,78.23,1.0,E,
0,0.1,456,20,0.4331,85.00,76.51,1.0,E,
0,0.1,456,21,0.4195,85.34,82.76,1.0,E,
0,0.1,456,22,0.4109,85.84,76.16,1.0,E,
0,0.1,456,23,0.4010,86.03,80.75,1.0,E,
0,0.1,456,24,0.3888,86.47,80.82,1.0,E,
0,0.1,456,25,0.3831,86.56,77.50,1.0,E,
0,0.1,456,26,0.3719,87.03,78.44,1.0,E,
0,0.1,456,27,0.3646,87.25,80.12,1.0,E,
0,0.1,456,28,0.3522,87.63,75.18,1.0,E,
0,0.1,456,29,0.3512,87.74,80.71,1.0,E,
0,0.1,456,30,0.3383,88.11,80.49,1.0,E,
0,0.1,456,31,0.2793,90.37,87.12,1.0,E,
0,0.1,456,32,0.2656,90.95,87.13,1.0,E,
0,0.1,456,33,0.2593,90.99,86.94,1.0,E,
0,0.1,456,34,0.2536,91.29,87.23,1.0,E,
0,0.1,456,35,0.2509,91.48,87.28,1.0,E,
0,0.1,456,36,0.2474,91.49,87.05,1.0,E,
0,0.1,456,37,0.2464,91.46,87.35,1.0,E,
0,0.1,456,38,0.2415,91.72,87.24,1.0,E,
0,0.1,456,39,0.2425,91.56,87.28,1.0,E,
0,0.1,456,40,0.2375,91.84,87.37,1.0,E,
0,0.1,456,41,0.2332,92.07,87.47,1.0,E,
0,0.1,456,42,0.2333,91.84,87.43,1.0,E,
0,0.1,456,43,0.2312,92.02,87.46,1.0,E,
0,0.1,456,44,0.2319,92.02,87.48,1.0,E,
0,0.1,456,45,0.2294,92.10,87.35,1.0,E,
0,0.1,456,46,0.2297,92.18,87.49,1.0,E,
0,0.1,456,47,0.2285,92.06,87.33,1.0,E,
0,0.1,456,48,0.2310,92.18,87.48,1.0,E,
0,0.1,456,49,0.2304,91.98,87.49,1.0,E,
0,0.1,456,50,0.2265,92.22,87.46,1.0,E,
