tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
16,0.9,42,1,2.8381,13.52,18.86,0.0625,C,0.1767,fixed,0.9000,0.3,geometric,17
16,0.9,42,2,2.0178,23.29,27.50,0.0625,C,0.1319,fixed,0.9000,0.3,geometric,17
16,0.9,42,3,1.8876,27.86,29.30,0.0625,C,0.1460,fixed,0.9000,0.3,geometric,17
16,0.9,42,4,1.7779,31.86,32.61,0.0625,C,0.1179,fixed,0.9000,0.3,geometric,17
16,0.9,42,5,1.7045,34.56,39.25,0.0625,C,0.1319,fixed,0.9000,0.3,geometric,17
16,0.9,42,6,1.5961,39.72,38.76,0.0625,C,0.0897,fixed,0.9000,0.3,geometric,17
16,0.9,42,7,1.6166,39.67,42.57,0.0625,C,0.1303,fixed,0.9000,0.3,geometric,17
16,0.9,42,8,1.5062,44.02,46.23,0.0625,C,0.1135,fixed,0.9000,0.3,geometric,17
16,0.9,42,9,1.4080,48.02,45.26,0.0625,C,0.1014,fixed,0.9000,0.3,geometric,17
16,0.9,42,10,1.3677,49.79,50.92,0.0625,C,0.1223,fixed,0.9000,0.3,geometric,17
16,0.9,42,11,1.2650,53.65,55.83,0.0625,C,0.0840,fixed,0.9000,0.3,geometric,17
16,0.9,42,12,1.2104,56.04,55.00,0.0625,C,0.0980,fixed,0.9000,0.3,geometric,17
16,0.9,42,13,1.1252,59.27,60.73,0.0625,C,0.0699,fixed,0.9000,0.3,geometric,17
16,0.9,42,14,1.1200,59.42,55.57,0.0625,C,0.0902,fixed,0.9000,0.3,geometric,17
16,0.9,42,15,1.0359,62.79,63.99,0.0625,C,0.0633,fixed,0.9000,0.3,geometric,17
16,0.9,42,16,1.0075,63.60,58.14,0.0625,C,0.0676,fixed,0.9000,0.3,geometric,17
16,0.9,42,17,0.9760,64.82,62.66,0.0625,C,0.0694,fixed,0.9000,0.3,geometric,17
16,0.9,42,18,0.9318,66.54,57.00,0.0625,C,0.0550,fixed,0.9000,0.3,geometric,17
16,0.9,42,19,0.8991,67.94,67.18,0.0625,C,0.0563,fixed,0.9000,0.3,geometric,17
16,0.9,42,20,0.9228,67.15,66.68,0.0625,C,0.0709,fixed,0.9000,0.3,geometric,17
16,0.9,42,21,0.8464,69.79,67.99,0.0625,C,0.0546,fixed,0.9000,0.3,geometric,17
16,0.9,42,22,0.7886,71.99,72.06,0.0625,C,0.0428,fixed,0.9000,0.3,geometric,17
16,0.9,42,23,0.7874,72.05,72.51,0.0625,C,0.0515,fixed,0.9000,0.3,geometric,17
16,0.9,42,24,0.7774,72.71,71.53,0.0625,C,0.0476,fixed,0.9000,0.3,geometric,17
16,0.9,42,25,0.7453,73.78,73.20,0.0625,C,0.0464,fixed,0.9000,0.3,geometric,17
16,0.9,42,26,0.7091,75.13,75.23,0.0625,C,0.0381,fixed,0.9000,0.3,geometric,17
16,0.9,42,27,0.7191,74.79,73.31,0.0625,C,0.0453,fixed,0.9000,0.3,geometric,17
16,0.9,42,28,0.7002,75.35,76.12,0.0625,C,0.0460,fixed,0.9000,0.3,geometric,17
16,0.9,42,29,0.6650,76.50,74.02,0.0625,C,0.0446,fixed,0.9000,0.3,geometric,17
16,0.9,42,30,0.6577,76.75,76.28,0.0625,C,0.0422,fixed,0.9000,0.3,geometric,17
16,0.9,42,31,0.5763,79.97,79.61,0.0625,C,0.0131,fixed,0.9000,0.3,geometric,17
16,0.9,42,32,0.5594,80.54,79.93,0.0625,C,0.0036,fixed,0.9000,0.3,geometric,17
16,0.9,42,33,0.5490,81.03,79.97,0.0625,C,0.0004,fixed,0.9000,0.3,geometric,17
16,0.9,42,34,0.5455,80.93,79.82,0.0625,C,0.0059,fixed,0.9000,0.3,geometric,17
16,0.9,42,35,0.5397,81.49,80.10,0.0625,C,0.0047,fixed,0.9000,0.3,geometric,17
16,0.9,42,36,0.5366,81.32,80.12,0.0625,C,0.0044,fixed,0.9000,0.3,geometric,17
16,0.9,42,37,0.5348,81.46,80.30,0.0625,C,0.0050,fixed,0.9000,0.3,geometric,17
16,0.9,42,38,0.5309,81.52,80.57,0.0625,C,0.0029,fixed,0.9000,0.3,geometric,17
16,0.9,42,39,0.5284,81.78,80.68,0.0625,C,0.0069,fixed,0.9000,0.3,geometric,17
16,0.9,42,40,0.5295,81.72,80.52,0.0625,C,0.0045,fixed,0.9000,0.3,geometric,17
16,0.9,42,41,0.5209,81.81,80.59,0.0625,C,0.0080,fixed,0.9000,0.3,geometric,17
16,0.9,42,42,0.5214,82.05,80.62,0.0625,C,0.0004,fixed,0.9000,0.3,geometric,17
16,0.9,42,43,0.5212,81.85,80.67,0.0625,C,0.0026,fixed,0.9000,0.3,geometric,17
16,0.9,42,44,0.5210,81.96,80.67,0.0625,C,-0.0001,fixed,0.9000,0.3,geometric,17
16,0.9,42,45,0.5204,81.86,80.68,0.0625,C,-0.0006,fixed,0.9000,0.3,geometric,17
16,0.9,42,46,0.5186,82.05,80.67,0.0625,C,0.0003,fixed,0.9000,0.3,geometric,17
16,0.9,42,47,0.5193,82.18,80.57,0.0625,C,-0.0083,fixed,0.9000,0.3,geometric,17
16,0.9,42,48,0.5179,81.97,80.67,0.0625,C,0.0006,fixed,0.9000,0.3,geometric,17
16,0.9,42,49,0.5178,82.09,80.59,0.0625,C,0.0010,fixed,0.9000,0.3,geometric,17
16,0.9,42,50,0.5174,82.19,80.68,0.0625,C,-0.0019,fixed,0.9000,0.3,geometric,17
