tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
0,0.8,123,1,1.5411,43.25,50.86,1.0,A,
0,0.8,123,2,1.0530,62.32,63.91,1.0,A,
0,0.8,123,3,0.8501,69.95,65.72,1.0,A,
0,0.8,123,4,0.7342,74.42,74.26,1.0,A,
0,0.8,123,5,0.6612,77.00,73.19,1.0,A,
0,0.8,123,6,0.6090,78.74,77.00,1.0,A,
0,0.8,123,7,0.5642,80.51,77.00,1.0,A,
0,0.8,123,8,0.5314,81.64,73.65,1.0,A,
0,0.8,123,9,0.5057,82.74,78.26,1.0,A,
0,0.8,123,10,0.4803,83.33,80.22,1.0,A,
0,0.8,123,11,0.4625,83.89,82.17,1.0,A,
0,0.8,123,12,0.4447,84.49,80.34,1.0,A,
0,0.8,123,13,0.4249,85.41,79.85,1.0,A,
0,0.8,123,14,0.4124,85.64,81.14,1.0,A,
0,0.8,123,15,0.3973,86.44,81.65,1.0,A,
0,0.8,123,16,0.3863,86.51,82.89,1.0,A,
0,0.8,123,17,0.3786,86.92,82.15,1.0,A,
0,0.8,123,18,0.3705,87.18,82.05,1.0,A,
0,0.8,123,19,0.3595,87.40,84.47,1.0,A,
0,0.8,123,20,0.3525,87.74,81.77,1.0,A,
0,0.8,123,21,0.3434,87.97,80.45,1.0,A,
0,0.8,123,22,0.3319,88.44,82.10,1.0,A,
0,0.8,123,23,0.3233,88.79,83.27,1.0,A,
0,0.8,123,24,0.3205,88.90,83.53,1.0,A,
0,0.8,123,25,0.3144,89.03,85.15,1.0,A,
0,0.8,123,26,0.3061,89.42,83.54,1.0,A,
0,0.8,123,27,0.3014,89.54,84.72,1.0,A,
0,0.8,123,28,0.2969,89.55,83.09,1.0,A,
0,0.8,123,29,0.2891,89.89,85.08,1.0,A,
0,0.8,123,30,0.2905,89.83,84.72,1.0,A,
0,0.8,123,31,0.2118,92.66,88.87,1.0,A,
0,0.8,123,32,0.1877,93.60,88.98,1.0,A,
0,0.8,123,33,0.1772,94.02,89.22,1.0,A,
0,0.8,123,34,0.1678,94.23,89.40,1.0,A,
0,0.8,123,35,0.1637,94.34,89.36,1.0,A,
0,0.8,123,36,0.1595,94.51,89.31,1.0,A,
0,0.8,123,37,0.1547,94.70,89.24,1.0,A,
0,0.8,123,38,0.1535,94.63,89.42,1.0,A,
0,0.8,123,39,0.1522,94.85,89.49,1.0,A,
0,0.8,123,40,0.1446,95.03,89.24,1.0,A,
0,0.8,123,41,0.1420,95.09,89.38,1.0,A,
0,0.8,123,42,0.1389,95.22,89.51,1.0,A,
0,0.8,123,43,0.1344,95.37,89.49,1.0,A,
0,0.8,123,44,0.1353,95.40,89.65,1.0,A,
0,0.8,123,45,0.1356,95.38,89.51,1.0,A,
0,0.8,123,46,0.1350,95.40,89.58,1.0,A,
0,0.8,123,47,0.1309,95.60,89.59,1.0,A,
0,0.8,123,48,0.1341,95.37,89.53,1.0,A,
0,0.8,123,49,0.1347,95.38,89.59,1.0,A,
0,0.8,123,50,0.1313,95.53,89.60,1.0,A,
