tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
0,0.85,123,1,1.5460,43.27,52.19,1.0,E,
0,0.85,123,2,1.0538,62.43,66.55,1.0,E,
0,0.85,123,3,0.8318,70.50,68.83,1.0,E,
0,0.85,123,4,0.7149,75.05,73.01,1.0,E,
0,0.85,123,5,0.6406,77.70,75.03,1.0,E,
0,0.85,123,6,0.5915,79.61,79.14,1.0,E,
0,0.85,123,7,0.5455,81.34,78.54,1.0,E,
0,0.85,123,8,0.5149,82.33,78.37,1.0,E,
0,0.85,123,9,0.4938,82.91,79.46,1.0,E,
0,0.85,123,10,0.4715,83.79,80.73,1.0,E,
0,0.85,123,11,0.4446,84.70,81.67,1.0,E,
0,0.85,123,12,0.4336,84.84,80.83,1.0,E,
0,0.85,123,13,0.4156,85.60,76.63,1.0,E,
0,0.85,123,14,0.4037,85.99,79.57,1.0,E,
0,0.85,123,15,0.3894,86.39,84.24,1.0,E,
0,0.85,123,16,0.3825,86.70,82.90,1.0,E,
0,0.85,123,17,0.3707,87.11,84.47,1.0,E,
0,0.85,123,18,0.3608,87.37,84.88,1.0,E,
0,0.85,123,19,0.3560,87.69,80.09,1.0,E,
0,0.85,123,20,0.3493,87.87,81.98,1.0,E,
0,0.85,123,21,0.3390,88.15,78.50,1.0,E,
0,0.85,123,22,0.3313,88.43,84.23,1.0,E,
0,0.85,123,23,0.3262,88.59,84.42,1.0,E,
0,0.85,123,24,0.3168,88.93,85.03,1.0,E,
0,0.85,123,25,0.3136,89.02,84.99,1.0,E,
0,0.85,123,26,0.3130,89.02,78.50,1.0,E,
0,0.85,123,27,0.3029,89.29,83.83,1.0,E,
0,0.85,123,28,0.2979,89.59,83.24,1.0,E,
0,0.85,123,29,0.2917,89.88,85.36,1.0,E,
0,0.85,123,30,0.2945,89.81,85.35,1.0,E,
0,0.85,123,31,0.2088,92.96,89.45,1.0,E,
0,0.85,123,32,0.1826,93.77,89.46,1.0,E,
0,0.85,123,33,0.1721,94.13,89.86,1.0,E,
0,0.85,123,34,0.1604,94.54,89.92,1.0,E,
0,0.85,123,35,0.1579,94.50,89.85,1.0,E,
0,0.85,123,36,0.1543,94.73,89.87,1.0,E,
0,0.85,123,37,0.1496,94.94,89.72,1.0,E,
0,0.85,123,38,0.1471,94.91,89.77,1.0,E,
0,0.85,123,39,0.1420,95.08,89.92,1.0,E,
0,0.85,123,40,0.1411,95.14,89.43,1.0,E,
0,0.85,123,41,0.1320,95.46,89.80,1.0,E,
0,0.85,123,42,0.1302,95.61,89.95,1.0,E,
0,0.85,123,43,0.1297,95.60,90.05,1.0,E,
0,0.85,123,44,0.1263,95.75,90.07,1.0,E,
0,0.85,123,45,0.1273,95.68,89.99,1.0,E,
0,0.85,123,46,0.1285,95.61,90.16,1.0,E,
0,0.85,123,47,0.1218,95.97,90.00,1.0,E,
0,0.85,123,48,0.1269,95.66,89.87,1.0,E,
0,0.85,123,49,0.1262,95.73,90.05,1.0,E,
0,0.85,123,50,0.1240,95.81,90.09,1.0,E,
