tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
5,0.1,123,1,2.4425,21.34,26.66,1.0,B,0.1057
5,0.1,123,2,1.7922,32.07,33.65,1.0,B,0.0842
5,0.1,123,3,1.6217,39.19,40.69,1.0,B,0.0802
5,0.1,123,4,1.4926,44.37,45.11,1.0,B,0.0759
5,0.1,123,5,1.3450,50.45,52.63,1.0,B,0.0688
5,0.1,123,6,1.2110,55.77,51.72,1.0,B,0.0607
5,0.1,123,7,1.1102,59.71,52.07,1.0,B,0.0585
5,0.1,123,8,1.0137,63.82,55.07,1.0,B,0.0455
5,0.1,123,9,0.9449,66.03,65.33,1.0,B,0.0501
5,0.1,123,10,0.8903,68.32,67.51,1.0,B,0.0463
5,0.1,123,11,0.8210,70.86,71.17,1.0,B,0.0412
5,0.1,123,12,0.7851,72.19,73.11,1.0,B,0.0434
5,0.1,123,13,0.7367,74.06,72.43,1.0,B,0.0341
5,0.1,123,14,0.7068,75.13,64.84,1.0,B,0.0356
5,0.1,123,15,0.6782,76.12,58.36,1.0,B,0.0389
5,0.1,123,16,0.6445,77.26,73.89,1.0,B,0.0329
5,0.1,123,17,0.6214,78.33,75.32,1.0,B,0.0338
5,0.1,123,18,0.5967,79.19,75.05,1.0,B,0.0320
5,0.1,123,19,0.5751,79.86,75.08,1.0,B,0.0277
5,0.1,123,20,0.5587,80.35,75.91,1.0,B,0.0309
5,0.1,123,21,0.5417,81.03,77.79,1.0,B,0.0272
5,0.1,123,22,0.5236,81.72,79.08,1.0,B,0.0273
5,0.1,123,23,0.5154,82.07,79.86,1.0,B,0.0289
5,0.1,123,24,0.4948,82.85,79.51,1.0,B,0.0259
5,0.1,123,25,0.4868,83.21,80.71,1.0,B,0.0284
5,0.1,123,26,0.4697,83.67,79.50,1.0,B,0.0255
5,0.1,123,27,0.4608,83.97,81.50,1.0,B,0.0254
5,0.1,123,28,0.4469,84.50,81.04,1.0,B,0.0244
5,0.1,123,29,0.4385,84.71,82.65,1.0,B,0.0280
5,0.1,123,30,0.4345,84.98,80.64,1.0,B,0.0237
5,0.1,123,31,0.3627,87.53,85.06,1.0,B,0.0069
5,0.1,123,32,0.3453,88.23,85.35,1.0,B,0.0033
5,0.1,123,33,0.3396,88.41,85.55,1.0,B,0.0034
5,0.1,123,34,0.3340,88.43,85.41,1.0,B,0.0011
5,0.1,123,35,0.3285,88.69,85.52,1.0,B,0.0021
5,0.1,123,36,0.3296,88.62,85.64,1.0,B,0.0016
5,0.1,123,37,0.3259,88.89,85.62,1.0,B,0.0008
5,0.1,123,38,0.3248,88.79,85.94,1.0,B,0.0021
5,0.1,123,39,0.3189,89.05,85.71,1.0,B,0.0019
5,0.1,123,40,0.3185,88.97,85.65,1.0,B,0.0004
5,0.1,123,41,0.3171,89.11,85.60,1.0,B,0.0033
5,0.1,123,42,0.3117,89.29,85.83,1.0,B,0.0004
5,0.1,123,43,0.3133,89.30,85.80,1.0,B,0.0011
5,0.1,123,44,0.3123,89.27,85.91,1.0,B,-0.0034
5,0.1,123,45,0.3111,89.29,85.79,1.0,B,-0.0009
5,0.1,123,46,0.3132,89.27,85.90,1.0,B,-0.0025
5,0.1,123,47,0.3074,89.41,85.97,1.0,B,-0.0013
5,0.1,123,48,0.3153,89.23,85.96,1.0,B,0.0023
5,0.1,123,49,0.3136,89.22,85.97,1.0,B,-0.0021
5,0.1,123,50,0.3083,89.40,85.86,1.0,B,-0.0009
