dist,K,c_mean,tau,momentum,seed,epoch,train_loss,train_acc,test_acc,grad_angle,stale_mean,stale_std,stale_max,stale_p99
geometric,65,4.0,0,0.9,42,1,34.6977,10.65,9.97,0.0490,54.500,40.164,300,173.5
geometric,65,4.0,0,0.9,42,2,8.3033,9.98,10.00,0.0918,62.910,51.005,334,235.1
geometric,65,4.0,0,0.9,42,3,9.6762,10.01,10.02,0.0924,64.043,53.078,417,239.8
geometric,65,4.0,0,0.9,42,4,9.8854,9.74,10.00,0.1114,64.069,52.904,396,256.7
geometric,65,4.0,0,0.9,42,5,8.5311,10.22,9.98,0.1118,63.706,50.554,278,248.3
geometric,65,4.0,0,0.9,42,6,7.6642,10.07,9.99,0.1227,64.542,59.020,425,330.5
geometric,65,4.0,0,0.9,42,7,8.2089,9.96,9.98,0.1126,63.719,54.665,525,261.1
geometric,65,4.0,0,0.9,42,8,7.4034,9.82,9.98,0.1012,63.987,48.646,374,210.0
geometric,65,4.0,0,0.9,42,9,7.2759,10.17,10.00,0.1056,63.634,51.189,278,253.3
geometric,65,4.0,0,0.9,42,10,10.0008,10.02,10.00,0.0866,63.834,49.809,422,259.7
geometric,65,4.0,0,0.9,42,11,10.5330,9.90,9.97,0.0717,65.169,53.548,433,254.9
geometric,65,4.0,0,0.9,42,12,10.9824,9.88,10.00,0.1002,63.752,47.219,296,237.2
geometric,65,4.0,0,0.9,42,13,10.5949,9.87,9.98,0.1045,64.529,55.935,402,281.4
geometric,65,4.0,0,0.9,42,14,9.5219,10.11,9.98,0.1194,61.941,50.318,319,251.5
geometric,65,4.0,0,0.9,42,15,7.9874,9.93,10.02,0.1133,65.404,59.528,475,306.1
geometric,65,4.0,0,0.9,42,16,7.7655,9.91,10.01,0.1095,64.698,52.373,329,267.5
geometric,65,4.0,0,0.9,42,17,8.2832,10.13,10.00,0.0815,64.430,50.487,284,252.4
geometric,65,4.0,0,0.9,42,18,8.7746,9.93,10.03,0.0971,61.974,47.264,301,238.9
geometric,65,4.0,0,0.9,42,19,9.6347,9.82,10.00,0.1135,64.596,49.375,359,224.6
geometric,65,4.0,0,0.9,42,20,8.8049,10.14,10.01,0.0829,64.312,51.105,389,258.7
geometric,65,4.0,0,0.9,42,21,10.1000,9.88,10.00,0.1036,64.174,52.086,317,282.9
geometric,65,4.0,0,0.9,42,22,8.5574,9.94,10.02,0.1188,63.752,55.649,330,258.0
geometric,65,4.0,0,0.9,42,23,8.1844,9.86,10.00,0.0753,63.627,50.596,272,258.6
geometric,65,4.0,0,0.9,42,24,8.4432,10.19,10.00,0.1010,64.811,52.814,486,226.2
geometric,65,4.0,0,0.9,42,25,7.5541,9.95,10.01,0.1035,63.478,54.131,346,256.7
geometric,65,4.0,0,0.9,42,26,7.2623,9.92,10.00,0.1014,63.614,49.597,264,241.0
geometric,65,4.0,0,0.9,42,27,7.8985,9.86,10.00,0.1042,64.964,52.300,293,271.0
geometric,65,4.0,0,0.9,42,28,7.8233,10.11,10.01,0.0823,64.043,49.267,316,232.2
geometric,65,4.0,0,0.9,42,29,8.9834,10.13,9.98,0.0978,64.123,45.858,245,217.2
geometric,65,4.0,0,0.9,42,30,8.9504,9.93,10.00,0.1187,62.992,51.055,344,255.5
geometric,65,4.0,0,0.9,42,31,7.5540,9.96,9.99,0.1025,65.123,59.749,525,315.4
geometric,65,4.0,0,0.9,42,32,9.4896,9.74,10.00,0.0822,62.903,49.366,350,237.9
geometric,65,4.0,0,0.9,42,33,9.7632,9.92,9.99,0.1043,63.143,55.463,384,291.3
geometric,65,4.0,0,0.9,42,34,9.8231,10.00,10.02,0.0812,64.496,49.529,335,242.8
geometric,65,4.0,0,0.9,42,35,10.6211,10.02,10.00,0.0989,65.527,54.138,438,229.8
geometric,65,4.0,0,0.9,42,36,10.3454,10.01,10.00,0.1020,62.657,47.889,387,207.3
geometric,65,4.0,0,0.9,42,37,7.7156,9.98,9.99,0.1190,63.624,53.615,324,267.6
geometric,65,4.0,0,0.9,42,38,7.6406,10.10,10.00,0.0969,64.921,56.841,372,309.7
geometric,65,4.0,0,0.9,42,39,8.2411,9.77,9.99,0.1006,63.987,50.270,427,237.6
geometric,65,4.0,0,0.9,42,40,8.7384,9.98,10.00,0.1155,63.417,59.320,542,278.1
geometric,65,4.0,0,0.9,42,41,7.3076,9.96,10.00,0.0950,65.665,53.646,381,259.2
geometric,65,4.0,0,0.9,42,42,9.0569,10.00,10.00,0.0888,64.499,46.902,326,216.2
geometric,65,4.0,0,0.9,42,43,8.0420,10.05,10.00,0.1167,61.504,48.741,283,231.7
geometric,65,4.0,0,0.9,42,44,8.9387,9.89,10.00,0.1033,64.332,51.405,329,246.0
geometric,65,4.0,0,0.9,42,45,8.7515,10.01,9.99,0.1189,64.946,53.310,392,240.1
geometric,65,4.0,0,0.9,42,46,7.1451,9.80,10.01,0.1173,64.087,49.910,304,263.3
geometric,65,4.0,0,0.9,42,47,9.8062,10.21,9.99,0.1025,62.373,51.671,411,249.4
geometric,65,4.0,0,0.9,42,48,9.5621,10.07,9.99,0.0840,66.289,54.219,394,262.3
geometric,65,4.0,0,0.9,42,49,8.5863,10.08,10.00,0.1042,62.885,48.505,267,234.6
geometric,65,4.0,0,0.9,42,50,8.5374,10.05,10.00,0.1107,64.000,56.339,379,281.1
