tau,mean_test_loss,std_test_loss,mean_test_acc,std_test_acc,mean_test_error,std_test_error,mean_weight_norm,std_weight_norm,mean_mean_grad_sq,std_mean_grad_sq
0,0.5197506520271301,0.06307411506787497,0.8441,0.01172049487009832,0.1559,0.011720494870098318,46.561388651529946,0.06218528140110273,3.437597426284146,0.03784580153434062
1,0.5169477259000143,0.0915139899958497,0.847,0.021306337085477637,0.153,0.021306337085477637,46.73648452758789,0.03506355080419399,3.2848214040798567,0.048145182041902164
2,0.5194560714403789,0.025317865521983892,0.8419333333333334,0.00511598801145324,0.15806666666666666,0.00511598801145324,46.694409688313804,0.05337259316190769,3.0608652137872543,0.04187853816709475
4,0.4986277855237325,0.05654075361398736,0.8469666666666668,0.01164316680861923,0.15303333333333333,0.01164316680861923,46.89788691202799,0.13226100922117348,2.7779349852774136,0.015195718067736624
8,0.6028247489452362,0.0389272443799925,0.8117333333333333,0.008357830659527216,0.1882666666666667,0.008357830659527216,47.99133046468099,0.7630434508714264,2.290485804215334,0.08553193972255668
10,0.5481391034682592,0.029460451921969798,0.8164333333333333,0.012983964469041534,0.18356666666666666,0.012983964469041534,48.664119720458984,0.946289246073369,2.0820991942208047,0.04223102891023194
