tau,epoch,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_test_acc,std_test_acc,mean_test_error,std_test_error,mean_weight_norm,std_weight_norm
0,1,1.6584272104151108,0.02072603019707619,1.9143794072469076,0.2617073356208038,0.3813,0.03474320077367655,0.6187,0.034743200773676576,31.011273701985676,0.05980216702152788
0,2,1.2663616565995406,0.028375214194178006,1.7699436511357627,0.4810274388901742,0.41409999999999997,0.09336450074841081,0.5859,0.09336450074841086,25.902136484781902,0.050763491456834856
0,3,1.0698484964891062,0.024297193506848874,1.493345450592041,0.39081857529601727,0.5238,0.07211456163632972,0.47619999999999996,0.07211456163632972,21.8426087697347,0.04702569374502555
0,4,0.9417217937373547,0.02326583389935966,1.4964910432179768,0.3313103099584831,0.5286333333333334,0.057850871500205896,0.47136666666666666,0.05785087150020588,18.662471771240234,0.048442432339662854
0,5,0.8449499767149805,0.023784476682209905,1.46401828362147,0.6326945645460214,0.5581999999999999,0.10952483736577744,0.4418,0.10952483736577744,16.240800221761067,0.05057943061652659
0,6,0.7823564154107858,0.020198880332040963,1.3527078484217325,0.21988906362011815,0.5728333333333334,0.05935000702049946,0.4271666666666667,0.05935000702049946,14.429682731628418,0.034481068577482614
0,7,0.7348259935395288,0.0140403152949319,1.0586821130116781,0.16876906199015337,0.6413333333333333,0.05142998476893932,0.3586666666666667,0.05142998476893932,13.106436729431152,0.02589433041771525
0,8,0.7014450761414143,0.009333367365873726,1.7172905424753824,0.5425591444618163,0.4967333333333333,0.09410857205023,0.5032666666666666,0.09410857205022997,12.16125202178955,0.015756030551821565
0,9,0.6789405816961128,0.007222709330401425,1.0923702487309774,0.16647602158894176,0.6351333333333334,0.04663757426510661,0.3648666666666667,0.046637574265106604,11.512320200602213,0.012826618926107184
0,10,0.6581757519606942,0.0070964905363069646,1.3756301681518555,0.32703063504952135,0.5647,0.07539383263901626,0.4353,0.07539383263901629,11.078484535217285,0.017344469286579598
0,11,0.6435089374543862,0.004984461873137358,1.239241777674357,0.4533094655962899,0.6290000000000001,0.0995400924251128,0.371,0.0995400924251128,10.79906177520752,0.003562828839636017
0,12,0.627579730667828,0.003199360747050569,1.6335463179906207,1.0958555157650898,0.5964666666666667,0.1430970416652047,0.4035333333333333,0.14309704166520473,10.622966448465982,0.025281380582326138
0,13,0.613801548166958,0.004887253173649331,1.555620892715454,0.767166832007288,0.5706666666666667,0.13985257714226554,0.42933333333333334,0.13985257714226554,10.500205675760904,0.01782153500234845
0,14,0.6003803040162173,0.005765699769311938,1.1244971287091572,0.2465615369093158,0.6333000000000001,0.06500023076882112,0.36669999999999997,0.06500023076882112,10.442803700764975,0.020623699145611966
0,15,0.5928576978881036,0.001260393614478227,1.1960126934687298,0.1373288069632953,0.6199666666666667,0.03104196084871791,0.3800333333333333,0.03104196084871791,10.418731053670248,0.014480896827367343
0,16,0.5800373110878905,0.002693076515161549,1.353661021868388,0.23483219379083764,0.5861999999999999,0.0692324345953542,0.4138,0.0692324345953542,10.396480878194174,0.01490268642503376
0,17,0.5698557277063173,0.001955920441411791,1.311954380830129,0.4849494708735892,0.6079666666666667,0.11673771170163193,0.3920333333333333,0.1167377117016319,10.39932378133138,0.020467084488685883
0,18,0.5622772756592391,0.0027882994983851926,1.2095309823671976,0.6016821339532568,0.6259666666666667,0.1427214886880505,0.3740333333333334,0.1427214886880505,10.3924929300944,0.02725296064047575
0,19,0.558488652885011,0.00371727974128083,0.8833788766860963,0.14165114996567527,0.7085333333333333,0.04423045707805122,0.2914666666666667,0.04423045707805122,10.415410041809082,0.02524103058774375
0,20,0.5535913343268994,0.004651246170351594,1.207051910018921,0.2357050375786034,0.6347666666666667,0.05125586145343114,0.3652333333333333,0.05125586145343114,10.424576123555502,0.029422972451812277
0,21,0.5461442990122142,0.00786762179369499,1.1933444829305013,0.25429960144521147,0.6391666666666667,0.05999136048910151,0.36083333333333334,0.05999136048910151,10.433167775472006,0.01774164631367755
0,22,0.5415093090070787,0.0037758540271236223,1.1812905483881633,0.53991991323069,0.6485,0.1009837610707781,0.3515,0.1009837610707781,10.457538604736328,0.03014448844611761
0,23,0.5377772605683391,0.0047294318117090586,1.3999119602839152,0.1986747625703242,0.5643666666666667,0.05791393039099774,0.4356333333333334,0.05791393039099773,10.4798215230306,0.029427426720196652
0,24,0.5319460616443061,0.00478829233957809,1.6082877513567606,0.5440860655585021,0.5737333333333333,0.08779136252122603,0.4262666666666666,0.08779136252122603,10.502122561136881,0.04518719252345146
0,25,0.5284844858211426,0.0012784657424966593,1.0014884227116905,0.08141627093301027,0.6758000000000001,0.010410091258005408,0.3242,0.010410091258005407,10.50551732381185,0.053391915513258455
0,26,0.5241462442728565,0.0029488563680953404,0.8356689126014709,0.11718377234432353,0.7156666666666668,0.03986431152463732,0.2843333333333333,0.03986431152463732,10.512528419494629,0.053292694941057116
0,27,0.5230854051751351,0.001544328755524697,1.16519596379598,0.45866590296737886,0.6474333333333333,0.10091978662944807,0.3525666666666667,0.10091978662944807,10.527376810709635,0.0317032647413802
