tau,epoch,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_test_acc,std_test_acc,mean_test_error,std_test_error,mean_weight_norm,std_weight_norm
0,1,1.6757762846739397,0.016070088797199743,1.948280719502767,0.32269913217448104,0.3736333333333333,0.048906577608061386,0.6263666666666666,0.04890657760806143,37.626365661621094,0.07101818948796239
0,2,1.2899599036190719,0.02299410140125301,1.2917196955362957,0.09227453714842174,0.5532666666666667,0.01775678274162672,0.44673333333333326,0.017756782741626724,37.883836110432945,0.07129203902986128
0,3,1.0941266377360417,0.0259348871331434,1.3336662033081055,0.26243919025508655,0.5664999999999999,0.04536066577994637,0.4335,0.04536066577994638,38.134254455566406,0.06850975081901908
0,4,0.9696142106409879,0.020543225465459097,1.1645405955632528,0.154551981125583,0.6120333333333333,0.04146339751314809,0.3879666666666666,0.04146339751314809,38.373251597086586,0.06870121785712267
0,5,0.8762677095938421,0.015078077270346843,1.1821989627838134,0.4211750086172911,0.6180333333333333,0.0928444038880822,0.38196666666666673,0.0928444038880822,38.606658935546875,0.06564026534670928
0,6,0.8035362663679618,0.007498503318715,1.0456934181213378,0.05635308303615334,0.6581,0.013509996299037257,0.34190000000000004,0.013509996299037257,38.83410517374674,0.06338134032439535
0,7,0.743966891510509,0.009817691368008379,0.8596192679405212,0.08000680540516304,0.7071333333333333,0.01959727872265262,0.29286666666666666,0.01959727872265262,39.054290771484375,0.06082031621543264
0,8,0.6946797814007407,0.0074675831224773215,0.8858517410596213,0.05229736752293419,0.7052,0.013952419145080145,0.2948,0.013952419145080145,39.26883316040039,0.05761653626506303
0,9,0.65608542120975,0.00587378365564445,0.801468246046702,0.05232907052544529,0.7359333333333334,0.015301089285842845,0.26406666666666667,0.015301089285842846,39.47780990600586,0.055451392463174314
0,10,0.6232582942248407,0.00922998585516654,0.780473667271932,0.027552959162810503,0.7392666666666666,0.005084617324178178,0.2607333333333333,0.005084617324178178,39.6814931233724,0.05153466853452585
0,11,0.595839976400569,0.009955465945645735,0.8794028999964397,0.17169933264923973,0.7082666666666667,0.052616759053873065,0.29173333333333334,0.052616759053873065,39.88227844238281,0.05049695675041565
