tau,epoch,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_test_acc,std_test_acc,mean_test_error,std_test_error,mean_weight_norm,std_weight_norm
0,1,1.6735169133465206,0.01138184626384934,2.2333769200642903,0.17343569969513056,0.34413333333333335,0.011511009223058309,0.6558666666666666,0.011511009223058285,37.48596700032552,0.06852961998033295
0,2,1.284874387155307,0.018578129858160382,1.3820053936004637,0.1467858357186687,0.5211666666666667,0.03364822927485687,0.4788333333333334,0.03364822927485687,37.605786641438804,0.06152001869230554
0,3,1.0894836005449091,0.022105870793722844,1.2875589149475097,0.2224577504535707,0.5639333333333333,0.05850002849002153,0.43606666666666666,0.05850002849002153,37.71655782063802,0.05403667267922992
0,4,0.9592645232838031,0.022615805931704185,1.2725374523162842,0.1041083082929604,0.5825999999999999,0.03114369920224635,0.41740000000000005,0.031143699202246352,37.81811014811198,0.04960706956275196
0,5,0.864726349876563,0.02896914094045857,1.0507942390441896,0.11454310471787758,0.6472000000000001,0.035740872960799364,0.3528,0.035740872960799364,37.91545867919922,0.047144570585404416
0,6,0.7945212669486382,0.030127094833603086,1.0023173077901204,0.06930649989684422,0.6701333333333332,0.020576766833818476,0.3298666666666667,0.020576766833818476,38.00598271687826,0.044765003550257094
0,7,0.7316669014307138,0.025784935090736046,0.9155702514648437,0.12799341444336254,0.6916333333333333,0.03735322386800549,0.3083666666666666,0.03735322386800549,38.092079162597656,0.037365302044876134
0,8,0.6867472086060484,0.02032850252648278,0.9791753943443298,0.07179554272696884,0.6823,0.021774296773948924,0.3177,0.021774296773948924,38.17312749226888,0.028763737482520327
0,9,0.647991389569724,0.016458588854122845,0.9085956777572631,0.20426070806801458,0.7026333333333334,0.05772437382365733,0.2973666666666666,0.05772437382365733,38.24953079223633,0.022988025657076396
0,10,0.6137088436096628,0.017212719602137872,0.8520299031575519,0.14120530236578768,0.7263333333333333,0.03537927830430311,0.27366666666666667,0.03537927830430311,38.32146708170573,0.017352611871169057
0,11,0.5860481006613372,0.01464697828029111,0.8391214758714041,0.28667174121423605,0.7303666666666667,0.0698960895425011,0.26963333333333334,0.0698960895425011,38.390855153401695,0.0138051044497596
0,12,0.5612294284431526,0.01182018304808251,0.7377117871920268,0.055119998702060725,0.7591333333333333,0.009360733589486057,0.24086666666666667,0.009360733589486057,38.45574696858724,0.009580925132545739
0,13,0.5378336082486546,0.013111932981091317,0.9459933217684428,0.15285877942429824,0.7091,0.038896915044769304,0.2909,0.038896915044769304,38.5189094543457,0.006054663658095148
0,14,0.5184926668853711,0.01120679354561701,0.7202989029248555,0.0827282891996767,0.7627666666666665,0.027214395700315187,0.23723333333333338,0.027214395700315187,38.58029556274414,0.005660551880287446
0,15,0.5026497471083563,0.009362812494326009,0.7301609696706136,0.06671074995406766,0.7669333333333332,0.019604676312893643,0.23306666666666667,0.019604676312893643,38.63958485921224,0.005681069627850107
0,16,0.4850394038542254,0.00926455282637549,0.7602324787775676,0.11995825640668013,0.7600333333333333,0.03121367221800943,0.2399666666666667,0.03121367221800943,38.69619369506836,0.003753024333953544
0,17,0.4694496909599475,0.007799168936630381,0.7416126126766205,0.0988563303486509,0.7613666666666666,0.025204232448803775,0.23863333333333336,0.025204232448803775,38.750996907552086,0.008337760115208434
0,18,0.4556962289265456,0.012004439327331785,0.6755616603692373,0.0930377242701053,0.7841,0.022941883096206397,0.2159,0.022941883096206393,38.806297302246094,0.009520013249284611
